,Transformation,AAM,Class
210,CEC-Ni-photoredox,[C:16]1([Br:17])([H:41])[C:18]([O:20][C:22]([H:47])([H:48])[H:49])([H:42])[C:19]([H:43])([H:44])[C:21]([H:45])([H:46])[C:23]1([H:50])[H:51].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([Br:4])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35]>>[Br:4][Br:17].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([C:16]2([H:41])[C:18]([O:20][C:22]([H:47])([H:48])[H:49])([H:42])[C:19]([H:43])([H:44])[C:21]([H:45])([H:46])[C:23]2([H:50])[H:51])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35],0
211,BF3K-Pd-Suzuki,[C:1]1([H:28])([H:29])[C:7]([H:33])([H:34])[N:10]([C:14]([H:42])([H:43])[H:44])[C:11]([H:36])([H:37])[C:13]([H:40])([H:41])[N:15]1[C:12]([c:8]1[c:6]([H:32])[c:5]([H:31])[c:3]([Br:4])[c:2]([H:30])[c:9]1[H:35])([H:38])[H:39].[F:16][B-:24]([F:19])([C:22]1([H:51])[C:17]([O:18][C:21]([H:48])([H:49])[H:50])([H:45])[C:25]([H:54])([H:55])[C:23]([H:52])([H:53])[C:20]1([H:46])[H:47])[F:26]>>[Br:4][B-:24]([F:16])([F:19])[F:26].[C:1]1([H:28])([H:29])[C:7]([H:33])([H:34])[N:10]([C:14]([H:42])([H:43])[H:44])[C:11]([H:36])([H:37])[C:13]([H:40])([H:41])[N:15]1[C:12]([c:8]1[c:6]([H:32])[c:5]([H:31])[c:3]([C:22]2([H:51])[C:17]([O:18][C:21]([H:48])([H:49])[H:50])([H:45])[C:25]([H:54])([H:55])[C:23]([H:52])([H:53])[C:20]2([H:46])[H:47])[c:2]([H:30])[c:9]1[H:35])([H:38])[H:39],0
212,CEC-Ni-Weix,[C:16]1([Br:17])([H:41])[C:18]([O:20][C:22]([H:47])([H:48])[H:49])([H:42])[C:19]([H:43])([H:44])[C:21]([H:45])([H:46])[C:23]1([H:50])[H:51].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([Br:4])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35]>>[Br:4][Br:17].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([C:16]2([H:41])[C:18]([O:20][C:22]([H:47])([H:48])[H:49])([H:42])[C:19]([H:43])([H:44])[C:21]([H:45])([H:46])[C:23]2([H:50])[H:51])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35],0
213,CEC-Ni-photoredox,[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([Br:9])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46].[C:23]1([Br:24])([H:54])[C:25]([O:27][C:29]([H:60])([H:61])[H:62])([H:55])[C:26]([H:56])([H:57])[C:28]([H:58])([H:59])[C:30]1([H:63])[H:64]>>[Br:9][Br:24].[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([C:23]3([H:54])[C:25]([O:27][C:29]([H:60])([H:61])[H:62])([H:55])[C:26]([H:56])([H:57])[C:28]([H:58])([H:59])[C:30]3([H:63])[H:64])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46],0
214,BF3K-Pd-Suzuki,[C:1]([C:6]([H:36])([H:37])[H:38])([C:13]([H:43])([H:44])[H:45])([C:16]([H:46])([H:47])[H:48])[O:22][C:18]([C:15]([N:14]1[C:12]([H:41])([H:42])[C:11]([C:21]([H:55])([H:56])[H:57])([H:40])[N:10]([c:4]2[n:3][c:2]([H:35])[c:8]([Br:9])[c:7]([H:39])[n:5]2)[C:20]([H:53])([H:54])[C:19]1([H:51])[H:52])=[O:17])([H:49])[H:50].[F:23][B-:31]([F:26])([C:29]1([H:64])[C:24]([O:25][C:28]([H:61])([H:62])[H:63])([H:58])[C:32]([H:67])([H:68])[C:30]([H:65])([H:66])[C:27]1([H:59])[H:60])[F:33]>>[Br:9][B-:31]([F:23])([F:26])[F:33].[C:1]([C:6]([H:36])([H:37])[H:38])([C:13]([H:43])([H:44])[H:45])([C:16]([H:46])([H:47])[H:48])[O:22][C:18]([C:15]([N:14]1[C:12]([H:41])([H:42])[C:11]([C:21]([H:55])([H:56])[H:57])([H:40])[N:10]([c:4]2[n:3][c:2]([H:35])[c:8]([C:29]3([H:64])[C:24]([O:25][C:28]([H:61])([H:62])[H:63])([H:58])[C:32]([H:67])([H:68])[C:30]([H:65])([H:66])[C:27]3([H:59])[H:60])[c:7]([H:39])[n:5]2)[C:20]([H:53])([H:54])[C:19]1([H:51])[H:52])=[O:17])([H:49])[H:50],0
215,CEC-Ni-Weix,[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([Br:9])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46].[C:23]1([Br:24])([H:54])[C:25]([O:27][C:29]([H:60])([H:61])[H:62])([H:55])[C:26]([H:56])([H:57])[C:28]([H:58])([H:59])[C:30]1([H:63])[H:64]>>[Br:9][Br:24].[C:1]([C:6]([H:32])([H:33])[H:34])([C:13]([H:39])([H:40])[H:41])([C:16]([H:42])([H:43])[H:44])[O:22][C:18]([C:15]([N:14]1[C:12]([H:37])([H:38])[C:11]([C:21]([H:51])([H:52])[H:53])([H:36])[N:10]([c:4]2[n:3][c:2]([H:31])[c:8]([C:23]3([H:54])[C:25]([O:27][C:29]([H:60])([H:61])[H:62])([H:55])[C:26]([H:56])([H:57])[C:28]([H:58])([H:59])[C:30]3([H:63])[H:64])[c:7]([H:35])[n:5]2)[C:20]([H:49])([H:50])[C:19]1([H:47])[H:48])=[O:17])([H:45])[H:46],0
216,CEC-Ni-photoredox,[C:16]1([Br:17])([H:31])[C:18]([O:20][C:22]([H:37])([H:38])[H:39])([H:32])[C:19]([H:33])([H:34])[C:21]([H:35])([H:36])[C:23]1([H:40])[H:41].[c:1]1([H:24])[c:2]([Br:3])[c:4]([H:25])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:28])[C:15]([H:29])([H:30])[O:14][C:11]([H:26])([H:27])[C:7]3=[O:10]>>[Br:3][Br:17].[c:1]1([H:24])[c:2]([C:16]2([H:31])[C:18]([O:20][C:22]([H:37])([H:38])[H:39])([H:32])[C:19]([H:33])([H:34])[C:21]([H:35])([H:36])[C:23]2([H:40])[H:41])[c:4]([H:25])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:28])[C:15]([H:29])([H:30])[O:14][C:11]([H:26])([H:27])[C:7]3=[O:10],0
217,BF3K-Pd-Suzuki,[F:16][B-:24]([F:19])([C:22]1([H:41])[C:17]([O:18][C:21]([H:38])([H:39])[H:40])([H:35])[C:25]([H:44])([H:45])[C:23]([H:42])([H:43])[C:20]1([H:36])[H:37])[F:26].[c:1]1([H:28])[c:2]([Br:3])[c:4]([H:29])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:32])[C:15]([H:33])([H:34])[O:14][C:11]([H:30])([H:31])[C:7]3=[O:10]>>[Br:3][B-:24]([F:16])([F:19])[F:26].[c:1]1([H:28])[c:2]([C:22]2([H:41])[C:17]([O:18][C:21]([H:38])([H:39])[H:40])([H:35])[C:25]([H:44])([H:45])[C:23]([H:42])([H:43])[C:20]2([H:36])[H:37])[c:4]([H:29])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:32])[C:15]([H:33])([H:34])[O:14][C:11]([H:30])([H:31])[C:7]3=[O:10],0
218,CEC-Ni-Weix,[C:16]1([Br:17])([H:31])[C:18]([O:20][C:22]([H:37])([H:38])[H:39])([H:32])[C:19]([H:33])([H:34])[C:21]([H:35])([H:36])[C:23]1([H:40])[H:41].[c:1]1([H:24])[c:2]([Br:3])[c:4]([H:25])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:28])[C:15]([H:29])([H:30])[O:14][C:11]([H:26])([H:27])[C:7]3=[O:10]>>[Br:3][Br:17].[c:1]1([H:24])[c:2]([C:16]2([H:31])[C:18]([O:20][C:22]([H:37])([H:38])[H:39])([H:32])[C:19]([H:33])([H:34])[C:21]([H:35])([H:36])[C:23]2([H:40])[H:41])[c:4]([H:25])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:28])[C:15]([H:29])([H:30])[O:14][C:11]([H:26])([H:27])[C:7]3=[O:10],0
219,BF3K-Ni-photoredox,[C:1]1([B-:2]([F:3])([F:4])[F:5])([H:24])[C:7]([H:27])([H:28])[C:10]([H:33])([H:34])[C:6]([H:25])([H:26])[C:8]([H:29])([H:30])[C:9]1([H:31])[H:32].[n:11]1[c:15]([H:36])[c:17]([H:38])[c:21]([H:41])[n:22]1-[c:20]1[c:12]([H:35])[c:13]([Br:14])[c:16]([H:37])[c:18]([H:39])[c:19]1[H:40]>>[B-:2]([F:3])([F:4])([F:5])[Br:14].[C:1]1([c:13]2[c:12]([H:35])[c:20](-[n:22]3[n:11][c:15]([H:36])[c:17]([H:38])[c:21]3[H:41])[c:19]([H:40])[c:18]([H:39])[c:16]2[H:37])([H:24])[C:7]([H:27])([H:28])[C:10]([H:33])([H:34])[C:6]([H:25])([H:26])[C:8]([H:29])([H:30])[C:9]1([H:31])[H:32],0
220,CEC-Ni-photoredox,[C:13]1([Br:14])([H:27])[C:16]([H:30])([H:31])[C:19]([H:36])([H:37])[C:15]([H:28])([H:29])[C:17]([H:32])([H:33])[C:18]1([H:34])[H:35].[n:1]1[c:5]([H:21])[c:7]([H:23])[c:11]([H:26])[n:12]1-[c:10]1[c:2]([H:20])[c:3]([Br:4])[c:6]([H:22])[c:8]([H:24])[c:9]1[H:25]>>[Br:4][Br:14].[n:1]1[c:5]([H:21])[c:7]([H:23])[c:11]([H:26])[n:12]1-[c:10]1[c:2]([H:20])[c:3]([C:13]2([H:27])[C:16]([H:30])([H:31])[C:19]([H:36])([H:37])[C:15]([H:28])([H:29])[C:17]([H:32])([H:33])[C:18]2([H:34])[H:35])[c:6]([H:22])[c:8]([H:24])[c:9]1[H:25],0
221,COOH-Ni-photoredox,[C:1]1([H:22])([H:23])[C:6]([H:26])([H:27])[C:8]([H:30])([H:31])[C:9]([H:32])([H:33])[C:5]([C:3]([O:2][H:24])=[O:4])([H:25])[C:7]1([H:28])[H:29].[n:10]1[c:14]([H:35])[c:16]([H:37])[c:20]([H:40])[n:21]1-[c:19]1[c:11]([H:34])[c:12]([Br:13])[c:15]([H:36])[c:17]([H:38])[c:18]1[H:39]>>[C:1]1([H:22])([H:23])[C:6]([H:26])([H:27])[C:8]([H:30])([H:31])[C:9]([H:32])([H:33])[C:5]([c:12]2[c:11]([H:34])[c:19](-[n:21]3[n:10][c:14]([H:35])[c:16]([H:37])[c:20]3[H:40])[c:18]([H:39])[c:17]([H:38])[c:15]2[H:36])([H:25])[C:7]1([H:28])[H:29].[O:2]([C:3](=[O:4])[Br:13])[H:24],0
222,BF3K-Pd-Suzuki,[C:1]1([B-:2]([F:3])([F:4])[F:5])([H:24])[C:7]([H:27])([H:28])[C:10]([H:33])([H:34])[C:6]([H:25])([H:26])[C:8]([H:29])([H:30])[C:9]1([H:31])[H:32].[n:11]1[c:15]([H:36])[c:17]([H:38])[c:21]([H:41])[n:22]1-[c:20]1[c:12]([H:35])[c:13]([Br:14])[c:16]([H:37])[c:18]([H:39])[c:19]1[H:40]>>[B-:2]([F:3])([F:4])([F:5])[Br:14].[C:1]1([c:13]2[c:12]([H:35])[c:20](-[n:22]3[n:11][c:15]([H:36])[c:17]([H:38])[c:21]3[H:41])[c:19]([H:40])[c:18]([H:39])[c:16]2[H:37])([H:24])[C:7]([H:27])([H:28])[C:10]([H:33])([H:34])[C:6]([H:25])([H:26])[C:8]([H:29])([H:30])[C:9]1([H:31])[H:32],0
223,MIDA-Pd-Suzuki,[C:1]1([B:2]2[O:3][C:4](=[O:5])[C:6]([H:31])([H:32])[N:8]([C:17]([H:45])([H:46])[H:47])[C:9]([H:35])([H:36])[C:12](=[O:13])[O:15]2)([H:30])[C:7]([H:33])([H:34])[C:10]([H:37])([H:38])[C:11]([H:39])([H:40])[C:14]([H:41])([H:42])[C:16]1([H:43])[H:44].[n:18]1[c:22]([H:49])[c:24]([H:51])[c:28]([H:54])[n:29]1-[c:27]1[c:19]([H:48])[c:20]([Br:21])[c:23]([H:50])[c:25]([H:52])[c:26]1[H:53]>>[B:2]1([Br:21])[O:3][C:4](=[O:5])[C:6]([H:31])([H:32])[N:8]([C:17]([H:45])([H:46])[H:47])[C:9]([H:35])([H:36])[C:12](=[O:13])[O:15]1.[C:1]1([c:20]2[c:19]([H:48])[c:27](-[n:29]3[n:18][c:22]([H:49])[c:24]([H:51])[c:28]3[H:54])[c:26]([H:53])[c:25]([H:52])[c:23]2[H:50])([H:30])[C:7]([H:33])([H:34])[C:10]([H:37])([H:38])[C:11]([H:39])([H:40])[C:14]([H:41])([H:42])[C:16]1([H:43])[H:44],0
224,CEC-Ni-Weix,[C:13]1([Br:14])([H:27])[C:16]([H:30])([H:31])[C:19]([H:36])([H:37])[C:15]([H:28])([H:29])[C:17]([H:32])([H:33])[C:18]1([H:34])[H:35].[n:1]1[c:5]([H:21])[c:7]([H:23])[c:11]([H:26])[n:12]1-[c:10]1[c:2]([H:20])[c:3]([Br:4])[c:6]([H:22])[c:8]([H:24])[c:9]1[H:25]>>[Br:4][Br:14].[n:1]1[c:5]([H:21])[c:7]([H:23])[c:11]([H:26])[n:12]1-[c:10]1[c:2]([H:20])[c:3]([C:13]2([H:27])[C:16]([H:30])([H:31])[C:19]([H:36])([H:37])[C:15]([H:28])([H:29])[C:17]([H:32])([H:33])[C:18]2([H:34])[H:35])[c:6]([H:22])[c:8]([H:24])[c:9]1[H:25],0
225,Negishi-Pd,[C:13]1([Zn:14][Br:15])([H:28])[C:17]([H:31])([H:32])[C:20]([H:37])([H:38])[C:16]([H:29])([H:30])[C:18]([H:33])([H:34])[C:19]1([H:35])[H:36].[n:1]1[c:5]([H:22])[c:7]([H:24])[c:11]([H:27])[n:12]1-[c:10]1[c:2]([H:21])[c:3]([Br:4])[c:6]([H:23])[c:8]([H:25])[c:9]1[H:26]>>[Br:4][Zn:14][Br:15].[n:1]1[c:5]([H:22])[c:7]([H:24])[c:11]([H:27])[n:12]1-[c:10]1[c:2]([H:21])[c:3]([C:13]2([H:28])[C:17]([H:31])([H:32])[C:20]([H:37])([H:38])[C:16]([H:29])([H:30])[C:18]([H:33])([H:34])[C:19]2([H:35])[H:36])[c:6]([H:23])[c:8]([H:25])[c:9]1[H:26],1
226,CEC-Ni-photoredox,[C:16]1([Br:17])([H:40])[C:19]([H:43])([H:44])[C:22]([H:49])([H:50])[C:18]([H:41])([H:42])[C:20]([H:45])([H:46])[C:21]1([H:47])[H:48].[C:1]1([H:23])([H:24])[C:7]([H:28])([H:29])[N:10]([C:14]([H:37])([H:38])[H:39])[C:11]([H:31])([H:32])[C:13]([H:35])([H:36])[N:15]1[C:12]([c:8]1[c:6]([H:27])[c:5]([H:26])[c:3]([Br:4])[c:2]([H:25])[c:9]1[H:30])([H:33])[H:34]>>[Br:4][Br:17].[C:1]1([H:23])([H:24])[C:7]([H:28])([H:29])[N:10]([C:14]([H:37])([H:38])[H:39])[C:11]([H:31])([H:32])[C:13]([H:35])([H:36])[N:15]1[C:12]([c:8]1[c:6]([H:27])[c:5]([H:26])[c:3]([C:16]2([H:40])[C:19]([H:43])([H:44])[C:22]([H:49])([H:50])[C:18]([H:41])([H:42])[C:20]([H:45])([H:46])[C:21]2([H:47])[H:48])[c:2]([H:25])[c:9]1[H:30])([H:33])[H:34],0
227,BF3K-Ni-photoredox,[C:16]1([B-:17]([F:18])([F:19])[F:20])([H:44])[C:22]([H:47])([H:48])[C:25]([H:53])([H:54])[C:21]([H:45])([H:46])[C:23]([H:49])([H:50])[C:24]1([H:51])[H:52].[C:1]1([H:27])([H:28])[C:7]([H:32])([H:33])[N:10]([C:14]([H:41])([H:42])[H:43])[C:11]([H:35])([H:36])[C:13]([H:39])([H:40])[N:15]1[C:12]([c:8]1[c:6]([H:31])[c:5]([H:30])[c:3]([Br:4])[c:2]([H:29])[c:9]1[H:34])([H:37])[H:38]>>[Br:4][B-:17]([F:18])([F:19])[F:20].[C:1]1([H:27])([H:28])[C:7]([H:32])([H:33])[N:10]([C:14]([H:41])([H:42])[H:43])[C:11]([H:35])([H:36])[C:13]([H:39])([H:40])[N:15]1[C:12]([c:8]1[c:6]([H:31])[c:5]([H:30])[c:3]([C:16]2([H:44])[C:22]([H:47])([H:48])[C:25]([H:53])([H:54])[C:21]([H:45])([H:46])[C:23]([H:49])([H:50])[C:24]2([H:51])[H:52])[c:2]([H:29])[c:9]1[H:34])([H:37])[H:38],0
228,COOH-Ni-photoredox,[C:16]1([H:42])([H:43])[C:21]([H:46])([H:47])[C:23]([H:50])([H:51])[C:24]([H:52])([H:53])[C:20]([C:18]([O:17][H:44])=[O:19])([H:45])[C:22]1([H:48])[H:49].[C:1]1([H:25])([H:26])[C:7]([H:30])([H:31])[N:10]([C:14]([H:39])([H:40])[H:41])[C:11]([H:33])([H:34])[C:13]([H:37])([H:38])[N:15]1[C:12]([c:8]1[c:6]([H:29])[c:5]([H:28])[c:3]([Br:4])[c:2]([H:27])[c:9]1[H:32])([H:35])[H:36]>>[Br:4][C:18]([O:17][H:44])=[O:19].[C:1]1([H:25])([H:26])[C:7]([H:30])([H:31])[N:10]([C:14]([H:39])([H:40])[H:41])[C:11]([H:33])([H:34])[C:13]([H:37])([H:38])[N:15]1[C:12]([c:8]1[c:6]([H:29])[c:5]([H:28])[c:3]([C:20]2([H:45])[C:22]([H:48])([H:49])[C:16]([H:42])([H:43])[C:21]([H:46])([H:47])[C:23]([H:50])([H:51])[C:24]2([H:52])[H:53])[c:2]([H:27])[c:9]1[H:32])([H:35])[H:36],0
229,BF3K-Pd-Suzuki,[C:16]1([B-:17]([F:18])([F:19])[F:20])([H:44])[C:22]([H:47])([H:48])[C:25]([H:53])([H:54])[C:21]([H:45])([H:46])[C:23]([H:49])([H:50])[C:24]1([H:51])[H:52].[C:1]1([H:27])([H:28])[C:7]([H:32])([H:33])[N:10]([C:14]([H:41])([H:42])[H:43])[C:11]([H:35])([H:36])[C:13]([H:39])([H:40])[N:15]1[C:12]([c:8]1[c:6]([H:31])[c:5]([H:30])[c:3]([Br:4])[c:2]([H:29])[c:9]1[H:34])([H:37])[H:38]>>[Br:4][B-:17]([F:18])([F:19])[F:20].[C:1]1([H:27])([H:28])[C:7]([H:32])([H:33])[N:10]([C:14]([H:41])([H:42])[H:43])[C:11]([H:35])([H:36])[C:13]([H:39])([H:40])[N:15]1[C:12]([c:8]1[c:6]([H:31])[c:5]([H:30])[c:3]([C:16]2([H:44])[C:22]([H:47])([H:48])[C:25]([H:53])([H:54])[C:21]([H:45])([H:46])[C:23]([H:49])([H:50])[C:24]2([H:51])[H:52])[c:2]([H:29])[c:9]1[H:34])([H:37])[H:38],0
230,MIDA-Pd-Suzuki,[C:18]1([H:51])([H:52])[C:24]([H:56])([H:57])[N:27]([C:31]([H:65])([H:66])[H:67])[C:28]([H:59])([H:60])[C:30]([H:63])([H:64])[N:32]1[C:29]([c:25]1[c:23]([H:55])[c:22]([H:54])[c:20]([Br:21])[c:19]([H:53])[c:26]1[H:58])([H:61])[H:62].[C:1]1([B:2]2[O:3][C:4](=[O:5])[C:6]([H:34])([H:35])[N:8]([C:17]([H:48])([H:49])[H:50])[C:9]([H:38])([H:39])[C:12](=[O:13])[O:15]2)([H:33])[C:7]([H:36])([H:37])[C:10]([H:40])([H:41])[C:11]([H:42])([H:43])[C:14]([H:44])([H:45])[C:16]1([H:46])[H:47]>>[B:2]1([Br:21])[O:3][C:4](=[O:5])[C:6]([H:34])([H:35])[N:8]([C:17]([H:48])([H:49])[H:50])[C:9]([H:38])([H:39])[C:12](=[O:13])[O:15]1.[C:1]1([c:20]2[c:19]([H:53])[c:26]([H:58])[c:25]([C:29]([N:32]3[C:18]([H:51])([H:52])[C:24]([H:56])([H:57])[N:27]([C:31]([H:65])([H:66])[H:67])[C:28]([H:59])([H:60])[C:30]3([H:63])[H:64])([H:61])[H:62])[c:23]([H:55])[c:22]2[H:54])([H:33])[C:7]([H:36])([H:37])[C:10]([H:40])([H:41])[C:11]([H:42])([H:43])[C:14]([H:44])([H:45])[C:16]1([H:46])[H:47],0
231,CEC-Ni-Weix,[C:16]1([Br:17])([H:40])[C:19]([H:43])([H:44])[C:22]([H:49])([H:50])[C:18]([H:41])([H:42])[C:20]([H:45])([H:46])[C:21]1([H:47])[H:48].[C:1]1([H:23])([H:24])[C:7]([H:28])([H:29])[N:10]([C:14]([H:37])([H:38])[H:39])[C:11]([H:31])([H:32])[C:13]([H:35])([H:36])[N:15]1[C:12]([c:8]1[c:6]([H:27])[c:5]([H:26])[c:3]([Br:4])[c:2]([H:25])[c:9]1[H:30])([H:33])[H:34]>>[Br:4][Br:17].[C:1]1([H:23])([H:24])[C:7]([H:28])([H:29])[N:10]([C:14]([H:37])([H:38])[H:39])[C:11]([H:31])([H:32])[C:13]([H:35])([H:36])[N:15]1[C:12]([c:8]1[c:6]([H:27])[c:5]([H:26])[c:3]([C:16]2([H:40])[C:19]([H:43])([H:44])[C:22]([H:49])([H:50])[C:18]([H:41])([H:42])[C:20]([H:45])([H:46])[C:21]2([H:47])[H:48])[c:2]([H:25])[c:9]1[H:30])([H:33])[H:34],0
232,Negishi-Pd,[C:16]1([Zn:17][Br:18])([H:41])[C:20]([H:44])([H:45])[C:23]([H:50])([H:51])[C:19]([H:42])([H:43])[C:21]([H:46])([H:47])[C:22]1([H:48])[H:49].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([Br:4])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35]>>[Br:4][Zn:17][Br:18].[C:1]1([H:24])([H:25])[C:7]([H:29])([H:30])[N:10]([C:14]([H:38])([H:39])[H:40])[C:11]([H:32])([H:33])[C:13]([H:36])([H:37])[N:15]1[C:12]([c:8]1[c:6]([H:28])[c:5]([H:27])[c:3]([C:16]2([H:41])[C:20]([H:44])([H:45])[C:23]([H:50])([H:51])[C:19]([H:42])([H:43])[C:21]([H:46])([H:47])[C:22]2([H:48])[H:49])[c:2]([H:26])[c:9]1[H:31])([H:34])[H:35],0
233,BF3K-Ni-photoredox,[C:1]([C:6]([H:35])([H:36])[H:37])([C:13]([H:42])([H:43])[H:44])([C:16]([H:45])([H:46])[H:47])[O:22][C:18]([C:15]([N:14]1[C:12]([H:40])([H:41])[C:11]([C:21]([H:54])([H:55])[H:56])([H:39])[N:10]([c:4]2[n:3][c:2]([H:34])[c:8]([Br:9])[c:7]([H:38])[n:5]2)[C:20]([H:52])([H:53])[C:19]1([H:50])[H:51])=[O:17])([H:48])[H:49].[C:23]1([B-:24]([F:25])([F:26])[F:27])([H:57])[C:29]([H:60])([H:61])[C:32]([H:66])([H:67])[C:28]([H:58])([H:59])[C:30]([H:62])([H:63])[C:31]1([H:64])[H:65]>>[Br:9][B-:24]([F:25])([F:26])[F:27].[C:1]([C:6]([H:35])([H:36])[H:37])([C:13]([H:42])([H:43])[H:44])([C:16]([H:45])([H:46])[H:47])[O:22][C:18]([C:15]([N:14]1[C:12]([H:40])([H:41])[C:11]([C:21]([H:54])([H:55])[H:56])([H:39])[N:10]([c:4]2[n:3][c:2]([H:34])[c:8]([C:23]3([H:57])[C:29]([H:60])([H:61])[C:32]([H:66])([H:67])[C:28]([H:58])([H:59])[C:30]([H:62])([H:63])[C:31]3([H:64])[H:65])[c:7]([H:38])[n:5]2)[C:20]([H:52])([H:53])[C:19]1([H:50])[H:51])=[O:17])([H:48])[H:49],0
234,CEC-Ni-photoredox,[C:1]([C:6]([H:31])([H:32])[H:33])([C:13]([H:38])([H:39])[H:40])([C:16]([H:41])([H:42])[H:43])[O:22][C:18]([C:15]([N:14]1[C:12]([H:36])([H:37])[C:11]([C:21]([H:50])([H:51])[H:52])([H:35])[N:10]([c:4]2[n:3][c:2]([H:30])[c:8]([Br:9])[c:7]([H:34])[n:5]2)[C:20]([H:48])([H:49])[C:19]1([H:46])[H:47])=[O:17])([H:44])[H:45].[C:23]1([Br:24])([H:53])[C:26]([H:56])([H:57])[C:29]([H:62])([H:63])[C:25]([H:54])([H:55])[C:27]([H:58])([H:59])[C:28]1([H:60])[H:61]>>[Br:9][Br:24].[C:1]([C:6]([H:31])([H:32])[H:33])([C:13]([H:38])([H:39])[H:40])([C:16]([H:41])([H:42])[H:43])[O:22][C:18]([C:15]([N:14]1[C:12]([H:36])([H:37])[C:11]([C:21]([H:50])([H:51])[H:52])([H:35])[N:10]([c:4]2[n:3][c:2]([H:30])[c:8]([C:23]3([H:53])[C:26]([H:56])([H:57])[C:29]([H:62])([H:63])[C:25]([H:54])([H:55])[C:27]([H:58])([H:59])[C:28]3([H:60])[H:61])[c:7]([H:34])[n:5]2)[C:20]([H:48])([H:49])[C:19]1([H:46])[H:47])=[O:17])([H:44])[H:45],0
