,Transformation,AAM,Class
10,MIDA-Pd-Suzuki,[C:1]1([H:28])([H:29])[C:7]([H:33])([H:34])[N:10]([C:14]([H:42])([H:43])[H:44])[C:11]([H:36])([H:37])[C:13]([H:40])([H:41])[N:15]1[C:12]([c:8]1[c:6]([H:32])[c:5]([H:31])[c:3]([Br:4])[c:2]([H:30])[c:9]1[H:35])([H:38])[H:39].[N:16]1([C:24]([H:47])([H:48])[H:49])[C:17]([H:45])([H:46])[C:18](=[O:19])[O:20][B:21]([C:27]([H:52])([H:53])[H:54])[O:22][C:23](=[O:25])[C:26]1([H:50])[H:51]>>[Br:4][B:21]1[O:20][C:18](=[O:19])[C:17]([H:45])([H:46])[N:16]([C:24]([H:47])([H:48])[H:49])[C:26]([H:50])([H:51])[C:23](=[O:25])[O:22]1.[C:1]1([H:28])([H:29])[C:7]([H:33])([H:34])[N:10]([C:14]([H:42])([H:43])[H:44])[C:11]([H:36])([H:37])[C:13]([H:40])([H:41])[N:15]1[C:12]([c:8]1[c:6]([H:32])[c:5]([H:31])[c:3]([C:27]([H:52])([H:53])[H:54])[c:2]([H:30])[c:9]1[H:35])([H:38])[H:39],0
11,Negishi-Pd,[C:1]1([H:19])([H:20])[C:7]([H:24])([H:25])[N:10]([C:14]([H:33])([H:34])[H:35])[C:11]([H:27])([H:28])[C:13]([H:31])([H:32])[N:15]1[C:12]([c:8]1[c:6]([H:23])[c:5]([H:22])[c:3]([Br:4])[c:2]([H:21])[c:9]1[H:26])([H:29])[H:30].[Zn:16]([Cl:17])[C:18]([H:36])([H:37])[H:38]>>[Br:4][Zn:16][Cl:17].[C:1]1([H:19])([H:20])[C:7]([H:24])([H:25])[N:10]([C:14]([H:33])([H:34])[H:35])[C:11]([H:27])([H:28])[C:13]([H:31])([H:32])[N:15]1[C:12]([c:8]1[c:6]([H:23])[c:5]([H:22])[c:3]([C:18]([H:36])([H:37])[H:38])[c:2]([H:21])[c:9]1[H:26])([H:29])[H:30],0
12,BF3K-Ni-photoredox,[C:1]([C:6]([H:30])([H:31])[H:32])([C:13]([H:37])([H:38])[H:39])([C:16]([H:40])([H:41])[H:42])[O:22][C:18]([C:15]([N:14]1[C:12]([H:35])([H:36])[C:11]([C:21]([H:49])([H:50])[H:51])([H:34])[N:10]([c:4]2[n:3][c:2]([H:29])[c:8]([Br:9])[c:7]([H:33])[n:5]2)[C:20]([H:47])([H:48])[C:19]1([H:45])[H:46])=[O:17])([H:43])[H:44].[F:23][B-:27]([F:24])([F:25])[C:26]([H:52])([H:53])[H:54]>>[Br:9][B-:27]([F:23])([F:24])[F:25].[C:1]([C:6]([H:30])([H:31])[H:32])([C:13]([H:37])([H:38])[H:39])([C:16]([H:40])([H:41])[H:42])[O:22][C:18]([C:15]([N:14]1[C:12]([H:35])([H:36])[C:11]([C:21]([H:49])([H:50])[H:51])([H:34])[N:10]([c:4]2[n:3][c:2]([H:29])[c:8]([C:26]([H:52])([H:53])[H:54])[c:7]([H:33])[n:5]2)[C:20]([H:47])([H:48])[C:19]1([H:45])[H:46])=[O:17])([H:43])[H:44],0
13,CEC-Ni-photoredox,[C:1]([C:6]([H:36])([H:37])[H:38])([C:13]([H:43])([H:44])[H:45])([C:16]([H:46])([H:47])[H:48])[O:22][C:18]([C:15]([N:14]1[C:12]([H:41])([H:42])[C:11]([C:21]([H:55])([H:56])[H:57])([H:40])[N:10]([c:4]2[n:3][c:2]([H:35])[c:8]([Br:9])[c:7]([H:39])[n:5]2)[C:20]([H:53])([H:54])[C:19]1([H:51])[H:52])=[O:17])([H:49])[H:50].[O:23]=[S:32]([O:26][C:28]([H:60])([H:61])[H:62])([c:30]1[c:29]([H:63])[c:27]([H:59])[c:25]([C:33]([H:65])([H:66])[H:67])[c:24]([H:58])[c:31]1[H:64])=[O:34]>>[Br:9][O:26][S:32](=[O:23])([c:30]1[c:29]([H:63])[c:27]([H:59])[c:25]([C:33]([H:65])([H:66])[H:67])[c:24]([H:58])[c:31]1[H:64])=[O:34].[C:1]([C:6]([H:36])([H:37])[H:38])([C:13]([H:43])([H:44])[H:45])([C:16]([H:46])([H:47])[H:48])[O:22][C:18]([C:15]([N:14]1[C:12]([H:41])([H:42])[C:11]([C:21]([H:55])([H:56])[H:57])([H:40])[N:10]([c:4]2[n:3][c:2]([H:35])[c:8]([C:28]([H:60])([H:61])[H:62])[c:7]([H:39])[n:5]2)[C:20]([H:53])([H:54])[C:19]1([H:51])[H:52])=[O:17])([H:49])[H:50],0
14,COOH-Ni-photoredox,[C:1]([C:6]([H:28])([H:29])[H:30])([C:13]([H:35])([H:36])[H:37])([C:16]([H:38])([H:39])[H:40])[O:22][C:18]([C:15]([N:14]1[C:12]([H:33])([H:34])[C:11]([C:21]([H:47])([H:48])[H:49])([H:32])[N:10]([c:4]2[n:3][c:2]([H:27])[c:8]([Br:9])[c:7]([H:31])[n:5]2)[C:20]([H:45])([H:46])[C:19]1([H:43])[H:44])=[O:17])([H:41])[H:42].[C:23]([C:25]([O:24][H:53])=[O:26])([H:50])([H:51])[H:52]>>[Br:9][C:25]([O:24][H:53])=[O:26].[C:1]([C:6]([H:28])([H:29])[H:30])([C:13]([H:35])([H:36])[H:37])([C:16]([H:38])([H:39])[H:40])[O:22][C:18]([C:15]([N:14]1[C:12]([H:33])([H:34])[C:11]([C:21]([H:47])([H:48])[H:49])([H:32])[N:10]([c:4]2[n:3][c:2]([H:27])[c:8]([C:23]([H:50])([H:51])[H:52])[c:7]([H:31])[n:5]2)[C:20]([H:45])([H:46])[C:19]1([H:43])[H:44])=[O:17])([H:41])[H:42],0
15,BF3K-Pd-Suzuki,[C:1]([C:6]([H:30])([H:31])[H:32])([C:13]([H:37])([H:38])[H:39])([C:16]([H:40])([H:41])[H:42])[O:22][C:18]([C:15]([N:14]1[C:12]([H:35])([H:36])[C:11]([C:21]([H:49])([H:50])[H:51])([H:34])[N:10]([c:4]2[n:3][c:2]([H:29])[c:8]([Br:9])[c:7]([H:33])[n:5]2)[C:20]([H:47])([H:48])[C:19]1([H:45])[H:46])=[O:17])([H:43])[H:44].[F:23][B-:27]([F:24])([F:25])[C:26]([H:52])([H:53])[H:54]>>[Br:9][B-:27]([F:23])([F:24])[F:25].[C:1]([C:6]([H:30])([H:31])[H:32])([C:13]([H:37])([H:38])[H:39])([C:16]([H:40])([H:41])[H:42])[O:22][C:18]([C:15]([N:14]1[C:12]([H:35])([H:36])[C:11]([C:21]([H:49])([H:50])[H:51])([H:34])[N:10]([c:4]2[n:3][c:2]([H:29])[c:8]([C:26]([H:52])([H:53])[H:54])[c:7]([H:33])[n:5]2)[C:20]([H:47])([H:48])[C:19]1([H:45])[H:46])=[O:17])([H:43])[H:44],0
16,MIDA-Pd-Suzuki,[C:1]([C:6]([H:36])([H:37])[H:38])([C:13]([H:43])([H:44])[H:45])([C:16]([H:46])([H:47])[H:48])[O:22][C:18]([C:15]([N:14]1[C:12]([H:41])([H:42])[C:11]([C:21]([H:55])([H:56])[H:57])([H:40])[N:10]([c:4]2[n:3][c:2]([H:35])[c:8]([Br:9])[c:7]([H:39])[n:5]2)[C:20]([H:53])([H:54])[C:19]1([H:51])[H:52])=[O:17])([H:49])[H:50].[N:23]1([C:31]([H:60])([H:61])[H:62])[C:24]([H:58])([H:59])[C:25](=[O:26])[O:27][B:28]([C:34]([H:65])([H:66])[H:67])[O:29][C:30](=[O:32])[C:33]1([H:63])[H:64]>>[Br:9][B:28]1[O:27][C:25](=[O:26])[C:24]([H:58])([H:59])[N:23]([C:31]([H:60])([H:61])[H:62])[C:33]([H:63])([H:64])[C:30](=[O:32])[O:29]1.[C:1]([C:6]([H:36])([H:37])[H:38])([C:13]([H:43])([H:44])[H:45])([C:16]([H:46])([H:47])[H:48])[O:22][C:18]([C:15]([N:14]1[C:12]([H:41])([H:42])[C:11]([C:21]([H:55])([H:56])[H:57])([H:40])[N:10]([c:4]2[n:3][c:2]([H:35])[c:8]([C:34]([H:65])([H:66])[H:67])[c:7]([H:39])[n:5]2)[C:20]([H:53])([H:54])[C:19]1([H:51])[H:52])=[O:17])([H:49])[H:50],0
17,Negishi-Pd,[C:1]([C:6]([H:27])([H:28])[H:29])([C:13]([H:34])([H:35])[H:36])([C:16]([H:37])([H:38])[H:39])[O:22][C:18]([C:15]([N:14]1[C:12]([H:32])([H:33])[C:11]([C:21]([H:46])([H:47])[H:48])([H:31])[N:10]([c:4]2[n:3][c:2]([H:26])[c:8]([Br:9])[c:7]([H:30])[n:5]2)[C:20]([H:44])([H:45])[C:19]1([H:42])[H:43])=[O:17])([H:40])[H:41].[Zn:23]([Cl:24])[C:25]([H:49])([H:50])[H:51]>>[Br:9][Zn:23][Cl:24].[C:1]([C:6]([H:27])([H:28])[H:29])([C:13]([H:34])([H:35])[H:36])([C:16]([H:37])([H:38])[H:39])[O:22][C:18]([C:15]([N:14]1[C:12]([H:32])([H:33])[C:11]([C:21]([H:46])([H:47])[H:48])([H:31])[N:10]([c:4]2[n:3][c:2]([H:26])[c:8]([C:25]([H:49])([H:50])[H:51])[c:7]([H:30])[n:5]2)[C:20]([H:44])([H:45])[C:19]1([H:42])[H:43])=[O:17])([H:40])[H:41],0
18,BF3K-Ni-photoredox,[F:16][B-:20]([F:17])([F:18])[C:19]([H:29])([H:30])[H:31].[c:1]1([H:22])[c:2]([Br:3])[c:4]([H:23])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:26])[C:15]([H:27])([H:28])[O:14][C:11]([H:24])([H:25])[C:7]3=[O:10]>>[Br:3][B-:20]([F:16])([F:17])[F:18].[c:1]1([H:22])[c:2]([C:19]([H:29])([H:30])[H:31])[c:4]([H:23])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:26])[C:15]([H:27])([H:28])[O:14][C:11]([H:24])([H:25])[C:7]3=[O:10],0
19,CEC-Ni-photoredox,[O:16]=[S:25]([O:19][C:21]([H:37])([H:38])[H:39])([c:23]1[c:22]([H:40])[c:20]([H:36])[c:18]([C:26]([H:42])([H:43])[H:44])[c:17]([H:35])[c:24]1[H:41])=[O:27].[c:1]1([H:28])[c:2]([Br:3])[c:4]([H:29])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:32])[C:15]([H:33])([H:34])[O:14][C:11]([H:30])([H:31])[C:7]3=[O:10]>>[Br:3][O:19][S:25](=[O:16])([c:23]1[c:22]([H:40])[c:20]([H:36])[c:18]([C:26]([H:42])([H:43])[H:44])[c:17]([H:35])[c:24]1[H:41])=[O:27].[c:1]1([H:28])[c:2]([C:21]([H:37])([H:38])[H:39])[c:4]([H:29])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:32])[C:15]([H:33])([H:34])[O:14][C:11]([H:30])([H:31])[C:7]3=[O:10],0
