,Substrate,AAM,E-1
10,NCCCC[C@@H](C(OC)=O)N,[C:1]([C:3]([N:2]([H:27])[H:30])([C:4](=[O:6])[O:8][C:9]([H:36])([H:37])[H:38])[H:31])([C:5]([C:7]([C:10]([N:11]([H:41])[H:42])([H:39])[H:40])([H:34])[H:35])([H:32])[H:33])([H:28])[H:29].[N:12](=[C:13]([N:14]([C:18]([C:21]([C:23]([C:15]([C:16](=[O:17])[O:19][H:48])([N:20]([H:49])[H:50])[H:45])([H:55])[H:56])([H:51])[H:52])([H:46])[H:47])[H:44])[N:22]([H:53])[H:54])[H:43]>>[C:1]([C:3]([N:2]([C:13](=[N:12][H:43])[N:22]([H:53])[H:54])[H:30])([C:4](=[O:6])[O:8][C:9]([H:36])([H:37])[H:38])[H:31])([C:5]([C:7]([C:10]([N:11]([H:41])[H:42])([H:39])[H:40])([H:34])[H:35])([H:32])[H:33])([H:28])[H:29].[N:14]([C:18]([C:21]([C:23]([C:15]([C:16](=[O:17])[O:19][H:48])([N:20]([H:49])[H:50])[H:45])([H:55])[H:56])([H:51])[H:52])([H:46])[H:47])([H:27])[H:44],0
11,C1=CC=C2C(=C1)C(=C[N]2)C[C@@H](C(=O)OC)N,[N:17](=[C:18]([N:19]([C:23]([C:26]([C:28]([C:20]([C:21](=[O:22])[O:24][H:55])([N:25]([H:56])[H:57])[H:52])([H:62])[H:63])([H:58])[H:59])([H:53])[H:54])[H:51])[N:27]([H:60])[H:61])[H:50].[c:1]1([H:37])[n:2]([H:38])[c:3]2[c:4]([c:5]1[C:7]([C:8]([N:6]([H:36])[H:39])([C:10](=[O:12])[O:14][C:15]([H:46])([H:47])[H:48])[H:42])([H:40])[H:41])[c:9]([H:43])[c:11]([H:44])[c:13]([H:45])[c:16]2[H:49]>>[N:19]([C:23]([C:26]([C:28]([C:20]([C:21](=[O:22])[O:24][H:55])([N:25]([H:56])[H:57])[H:52])([H:62])[H:63])([H:58])[H:59])([H:53])[H:54])([H:36])[H:51].[c:1]1([H:37])[n:2]([H:38])[c:3]2[c:4]([c:5]1[C:7]([C:8]([N:6]([C:18](=[N:17][H:50])[N:27]([H:60])[H:61])[H:39])([C:10](=[O:12])[O:14][C:15]([H:46])([H:47])[H:48])[H:42])([H:40])[H:41])[c:9]([H:43])[c:11]([H:44])[c:13]([H:45])[c:16]2[H:49],0
12,C(N)(NCCCC[C@@H](C(OC)=O)N)=N,[C:1]([C:5]([C:6](=[O:8])[O:9][C:10]([H:49])([H:50])[H:51])([N:13]([H:41])[H:56])[H:46])([C:12]([C:11]([C:7]([N:4]([C:3](=[N:2][H:44])[N:14]([H:57])[H:58])[H:45])([H:47])[H:48])([H:52])[H:53])([H:54])[H:55])([H:42])[H:43].[N:15](=[C:16]([N:17]([C:21]([C:24]([C:26]([C:18]([C:19](=[O:20])[O:22][H:64])([N:23]([H:65])[H:66])[H:61])([H:71])[H:72])([H:67])[H:68])([H:62])[H:63])[H:60])[N:25]([H:69])[H:70])[H:59]>>[C:1]([C:5]([C:6](=[O:8])[O:9][C:10]([H:49])([H:50])[H:51])([N:13]([C:16](=[N:15][H:59])[N:25]([H:69])[H:70])[H:56])[H:46])([C:12]([C:11]([C:7]([N:4]([C:3](=[N:2][H:44])[N:14]([H:57])[H:58])[H:45])([H:47])[H:48])([H:52])[H:53])([H:54])[H:55])([H:42])[H:43].[N:17]([C:21]([C:24]([C:26]([C:18]([C:19](=[O:20])[O:22][H:64])([N:23]([H:65])[H:66])[H:61])([H:71])[H:72])([H:67])[H:68])([H:62])[H:63])([H:41])[H:60],1
13,c1ccccc1C[C@@H](C(=O)OC)N,[N:14](=[C:15]([N:16]([C:20]([C:23]([C:25]([C:17]([C:18](=[O:19])[O:21][H:56])([N:22]([H:57])[H:58])[H:53])([H:63])[H:64])([H:59])[H:60])([H:54])[H:55])[H:52])[N:24]([H:61])[H:62])[H:51].[c:1]1([H:39])[c:2]([C:12]([C:3]([C:5](=[O:7])[O:8][C:9]([H:43])([H:44])[H:45])([N:13]([H:38])[H:50])[H:40])([H:48])[H:49])[c:4]([H:41])[c:6]([H:42])[c:10]([H:46])[c:11]1[H:47]>>[N:16]([C:20]([C:23]([C:25]([C:17]([C:18](=[O:19])[O:21][H:56])([N:22]([H:57])[H:58])[H:53])([H:63])[H:64])([H:59])[H:60])([H:54])[H:55])([H:38])[H:52].[c:1]1([H:39])[c:2]([C:12]([C:3]([C:5](=[O:7])[O:8][C:9]([H:43])([H:44])[H:45])([N:13]([C:15](=[N:14][H:51])[N:24]([H:61])[H:62])[H:50])[H:40])([H:48])[H:49])[c:4]([H:41])[c:6]([H:42])[c:10]([H:46])[c:11]1[H:47],0
14,OC[C@@H](C(=O)OC)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:49])([N:9]([H:50])[H:51])[H:46])([H:56])[H:57])([H:52])[H:53])([H:47])[H:48])[H:45])[N:11]([H:54])[H:55])[H:44].[O:13]=[C:20]([O:15][C:16]([H:59])([H:60])[H:61])[C:18]([C:17]([O:14][H:58])([H:62])[H:63])([N:19]([H:43])[H:65])[H:64]>>[N:1](=[C:2]([N:11]([H:54])[H:55])[N:19]([C:18]([C:17]([O:14][H:58])([H:62])[H:63])([C:20](=[O:13])[O:15][C:16]([H:59])([H:60])[H:61])[H:64])[H:65])[H:44].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:49])([N:9]([H:50])[H:51])[H:46])([H:56])[H:57])([H:52])[H:53])([H:47])[H:48])([H:43])[H:45],0
15,C(CCCNC(=N)N)N,[N:13](=[C:14]([N:15]([C:18]([C:21]([C:16]([C:17]([N:19]([H:47])[H:70])([H:66])[H:67])([H:64])[H:65])([H:73])[H:74])([H:68])[H:69])[H:63])[N:20]([H:71])[H:72])[H:62].[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:53])([N:9]([H:54])[H:55])[H:50])([H:60])[H:61])([H:56])[H:57])([H:51])[H:52])[H:49])[N:11]([H:58])[H:59])[H:48]>>[N:1](=[C:2]([N:11]([H:58])[H:59])[N:19]([C:17]([C:16]([C:21]([C:18]([N:15]([C:14](=[N:13][H:62])[N:20]([H:71])[H:72])[H:63])([H:68])[H:69])([H:73])[H:74])([H:64])[H:65])([H:66])[H:67])[H:70])[H:48].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:53])([N:9]([H:54])[H:55])[H:50])([H:60])[H:61])([H:56])[H:57])([H:51])[H:52])([H:47])[H:49],1
16,C(CCC[C@@H](C(O)=O)N)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:53])([N:9]([H:54])[H:55])[H:50])([H:60])[H:61])([H:56])[H:57])([H:51])[H:52])[H:49])[N:11]([H:58])[H:59])[H:48].[O:13]([C:14](=[O:15])[C:16]([N:19]([H:47])[H:68])([C:22]([C:17]([C:18]([C:20]([N:21]([H:71])[H:72])([H:69])[H:70])([H:66])[H:67])([H:64])[H:65])([H:73])[H:74])[H:63])[H:62]>>[N:1](=[C:2]([N:11]([H:58])[H:59])[N:19]([C:16]([C:14]([O:13][H:62])=[O:15])([C:22]([C:17]([C:18]([C:20]([N:21]([H:71])[H:72])([H:69])[H:70])([H:66])[H:67])([H:64])[H:65])([H:73])[H:74])[H:63])[H:68])[H:48].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:53])([N:9]([H:54])[H:55])[H:50])([H:60])[H:61])([H:56])[H:57])([H:51])[H:52])([H:47])[H:49],0
17,CC[C@@H](C(=O)CC)N,[N:13]([C:15]([C:16](=[O:18])[C:20]([C:14]([H:54])([H:55])[H:56])([H:63])[H:64])([C:17]([C:19]([H:60])([H:61])[H:62])([H:58])[H:59])[H:57])([H:38])[H:53].[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:44])([N:9]([H:45])[H:46])[H:41])([H:51])[H:52])([H:47])[H:48])([H:42])[H:43])[H:40])[N:11]([H:49])[H:50])[H:39]>>[N:1](=[C:2]([N:11]([H:49])[H:50])[N:13]([C:15]([C:16](=[O:18])[C:20]([C:14]([H:54])([H:55])[H:56])([H:63])[H:64])([C:17]([C:19]([H:60])([H:61])[H:62])([H:58])[H:59])[H:57])[H:53])[H:39].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:44])([N:9]([H:45])[H:46])[H:41])([H:51])[H:52])([H:47])[H:48])([H:42])[H:43])([H:38])[H:40],0
18,CCCCCCN,[N:13]([C:16]([C:19]([C:14]([C:15]([C:17]([C:18]([H:62])([H:63])[H:64])([H:60])[H:61])([H:56])[H:57])([H:54])[H:55])([H:65])[H:66])([H:58])[H:59])([H:38])[H:53].[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:44])([N:9]([H:45])[H:46])[H:41])([H:51])[H:52])([H:47])[H:48])([H:42])[H:43])[H:40])[N:11]([H:49])[H:50])[H:39]>>[N:1](=[C:2]([N:11]([H:49])[H:50])[N:13]([C:16]([C:19]([C:14]([C:15]([C:17]([C:18]([H:62])([H:63])[H:64])([H:60])[H:61])([H:56])[H:57])([H:54])[H:55])([H:65])[H:66])([H:58])[H:59])[H:53])[H:39].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:44])([N:9]([H:45])[H:46])[H:41])([H:51])[H:52])([H:47])[H:48])([H:42])[H:43])([H:38])[H:40],0
19,OCCN,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:43])([N:9]([H:44])[H:45])[H:40])([H:50])[H:51])([H:46])[H:47])([H:41])[H:42])[H:39])[N:11]([H:48])[H:49])[H:38].[O:13]([C:15]([C:14]([N:16]([H:37])[H:57])([H:53])[H:54])([H:55])[H:56])[H:52]>>[N:1](=[C:2]([N:11]([H:48])[H:49])[N:16]([C:14]([C:15]([O:13][H:52])([H:55])[H:56])([H:53])[H:54])[H:57])[H:38].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:43])([N:9]([H:44])[H:45])[H:40])([H:50])[H:51])([H:46])[H:47])([H:41])[H:42])([H:37])[H:39],0
