,Substrate,AAM,E-1
20,CCCN,[N:13]([C:16]([C:14]([C:15]([H:53])([H:54])[H:55])([H:51])[H:52])([H:56])[H:57])([H:35])[H:50].[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:41])([N:9]([H:42])[H:43])[H:38])([H:48])[H:49])([H:44])[H:45])([H:39])[H:40])[H:37])[N:11]([H:46])[H:47])[H:36]>>[N:1](=[C:2]([N:11]([H:46])[H:47])[N:13]([C:16]([C:14]([C:15]([H:53])([H:54])[H:55])([H:51])[H:52])([H:56])[H:57])[H:50])[H:36].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:41])([N:9]([H:42])[H:43])[H:38])([H:48])[H:49])([H:44])[H:45])([H:39])[H:40])([H:35])[H:37],0
21,c1ccccc1N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:46])([N:9]([H:47])[H:48])[H:43])([H:53])[H:54])([H:49])[H:50])([H:44])[H:45])[H:42])[N:11]([H:51])[H:52])[H:41].[c:13]1([H:55])[c:17]([H:58])[c:14]([H:56])[c:15]([N:19]([H:40])[H:60])[c:16]([H:57])[c:18]1[H:59]>>[N:1](=[C:2]([N:11]([H:51])[H:52])[N:19]([c:15]1[c:14]([H:56])[c:17]([H:58])[c:13]([H:55])[c:18]([H:59])[c:16]1[H:57])[H:60])[H:41].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:46])([N:9]([H:47])[H:48])[H:43])([H:53])[H:54])([H:49])[H:50])([H:44])[H:45])([H:40])[H:42],0
22,C[C@@H](C(=O)O)N,[N:13]([C:17]([C:15]([O:14][H:51])=[O:16])([C:18]([H:53])([H:54])[H:55])[H:52])([H:35])[H:50].[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:41])([N:9]([H:42])[H:43])[H:38])([H:48])[H:49])([H:44])[H:45])([H:39])[H:40])[H:37])[N:11]([H:46])[H:47])[H:36]>>[N:1](=[C:2]([N:11]([H:46])[H:47])[N:13]([C:17]([C:15]([O:14][H:51])=[O:16])([C:18]([H:53])([H:54])[H:55])[H:52])[H:50])[H:36].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:41])([N:9]([H:42])[H:43])[H:38])([H:48])[H:49])([H:44])[H:45])([H:39])[H:40])([H:35])[H:37],0
23,C([C@@H](C(=O)O)N)C(=O)N,[C:13]([C:17]([C:15]([O:14][H:58])=[O:16])([N:21]([H:41])[H:62])[H:59])([C:18](=[O:19])[N:20]([H:60])[H:61])([H:56])[H:57].[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:47])([N:9]([H:48])[H:49])[H:44])([H:54])[H:55])([H:50])[H:51])([H:45])[H:46])[H:43])[N:11]([H:52])[H:53])[H:42]>>[N:1](=[C:2]([N:11]([H:52])[H:53])[N:21]([C:17]([C:13]([C:18](=[O:19])[N:20]([H:60])[H:61])([H:56])[H:57])([C:15]([O:14][H:58])=[O:16])[H:59])[H:62])[H:42].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:47])([N:9]([H:48])[H:49])[H:44])([H:54])[H:55])([H:50])[H:51])([H:45])[H:46])([H:41])[H:43],0
24,SCCN,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:43])([N:9]([H:44])[H:45])[H:40])([H:50])[H:51])([H:46])[H:47])([H:41])[H:42])[H:39])[N:11]([H:48])[H:49])[H:38].[S:13]([C:15]([C:14]([N:16]([H:37])[H:57])([H:53])[H:54])([H:55])[H:56])[H:52]>>[N:1](=[C:2]([N:11]([H:48])[H:49])[N:16]([C:14]([C:15]([S:13][H:52])([H:55])[H:56])([H:53])[H:54])[H:57])[H:38].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:43])([N:9]([H:44])[H:45])[H:40])([H:50])[H:51])([H:46])[H:47])([H:41])[H:42])([H:37])[H:39],0
25,SC[C@@H](C(=O)O)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:42])([N:9]([H:43])[H:44])[H:39])([H:49])[H:50])([H:45])[H:46])([H:40])[H:41])[H:38])[N:11]([H:47])[H:48])[H:37].[O:13]([C:14](=[O:15])[C:16]([C:17]([S:18][H:55])([H:53])[H:54])([N:19]([H:36])[H:56])[H:52])[H:51]>>[N:1](=[C:2]([N:11]([H:47])[H:48])[N:19]([C:16]([C:14]([O:13][H:51])=[O:15])([C:17]([S:18][H:55])([H:53])[H:54])[H:52])[H:56])[H:37].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:42])([N:9]([H:43])[H:44])[H:39])([H:49])[H:50])([H:45])[H:46])([H:40])[H:41])([H:36])[H:38],0
26,C([C@@H](C(=O)O)N)CC(=O)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:50])([N:9]([H:51])[H:52])[H:47])([H:57])[H:58])([H:53])[H:54])([H:48])[H:49])[H:46])[N:11]([H:55])[H:56])[H:45].[O:13]([C:14](=[O:15])[C:16]([N:19]([H:44])[H:63])([C:22]([C:17]([C:18](=[O:20])[N:21]([H:64])[H:65])([H:61])[H:62])([H:66])[H:67])[H:60])[H:59]>>[N:1](=[C:2]([N:11]([H:55])[H:56])[N:19]([C:16]([C:14]([O:13][H:59])=[O:15])([C:22]([C:17]([C:18](=[O:20])[N:21]([H:64])[H:65])([H:61])[H:62])([H:66])[H:67])[H:60])[H:63])[H:45].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:50])([N:9]([H:51])[H:52])[H:47])([H:57])[H:58])([H:53])[H:54])([H:48])[H:49])([H:44])[H:46],0
27,C(C(=O)O)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:42])([N:9]([H:43])[H:44])[H:39])([H:49])[H:50])([H:45])[H:46])([H:40])[H:41])[H:38])[N:11]([H:47])[H:48])[H:37].[O:13]([C:14](=[O:15])[C:17]([N:16]([H:36])[H:52])([H:53])[H:54])[H:51]>>[N:1](=[C:2]([N:11]([H:47])[H:48])[N:16]([C:17]([C:14]([O:13][H:51])=[O:15])([H:53])[H:54])[H:52])[H:37].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:42])([N:9]([H:43])[H:44])[H:39])([H:49])[H:50])([H:45])[H:46])([H:40])[H:41])([H:36])[H:38],0
28,N1=CNC=C1C[C@@H](C(=O)O)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:49])([N:9]([H:50])[H:51])[H:46])([H:56])[H:57])([H:52])[H:53])([H:47])[H:48])[H:45])[N:11]([H:54])[H:55])[H:44].[O:13]([C:14](=[O:15])[C:17]([N:21]([H:43])[H:62])([C:22]([c:16]1[n:18][c:19]([H:60])[n:20]([H:61])[c:23]1[H:65])([H:63])[H:64])[H:59])[H:58]>>[N:1](=[C:2]([N:11]([H:54])[H:55])[N:21]([C:17]([C:14]([O:13][H:58])=[O:15])([C:22]([c:16]1[n:18][c:19]([H:60])[n:20]([H:61])[c:23]1[H:65])([H:63])[H:64])[H:59])[H:62])[H:44].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:49])([N:9]([H:50])[H:51])[H:46])([H:56])[H:57])([H:52])[H:53])([H:47])[H:48])([H:43])[H:45],0
29,C(N)(NCCCC[C@@H](C(O)=O)N)=N,[N:14](=[C:15]([N:16]([C:20]([C:23]([C:25]([C:17]([C:18](=[O:19])[O:21][H:59])([N:22]([H:60])[H:61])[H:56])([H:66])[H:67])([H:62])[H:63])([H:57])[H:58])[H:55])[N:24]([H:64])[H:65])[H:54].[N:1](=[C:2]([N:4]([C:6]([C:11]([C:12]([C:3]([C:5]([C:7](=[O:8])[O:9][H:46])([N:10]([H:38])[H:47])[H:43])([H:40])[H:41])([H:50])[H:51])([H:48])[H:49])([H:44])[H:45])[H:42])[N:13]([H:52])[H:53])[H:39]>>[N:16]([C:20]([C:23]([C:25]([C:17]([C:18](=[O:19])[O:21][H:59])([N:22]([H:60])[H:61])[H:56])([H:66])[H:67])([H:62])[H:63])([H:57])[H:58])([H:38])[H:55].[N:1](=[C:2]([N:4]([C:6]([C:11]([C:12]([C:3]([C:5]([C:7](=[O:8])[O:9][H:46])([N:10]([C:15](=[N:14][H:54])[N:24]([H:64])[H:65])[H:47])[H:43])([H:40])[H:41])([H:50])[H:51])([H:48])[H:49])([H:44])[H:45])[H:42])[N:13]([H:52])[H:53])[H:39],0
30,CSC[C@@H](C(=O)O)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:41])([N:9]([H:42])[H:43])[H:38])([H:48])[H:49])([H:44])[H:45])([H:39])[H:40])[H:37])[N:11]([H:46])[H:47])[H:36].[O:13]([C:14](=[O:15])[C:17]([C:16]([S:18][C:19]([H:54])([H:55])[H:56])([H:51])[H:52])([N:20]([H:35])[H:57])[H:53])[H:50]>>[N:1](=[C:2]([N:11]([H:46])[H:47])[N:20]([C:17]([C:14]([O:13][H:50])=[O:15])([C:16]([S:18][C:19]([H:54])([H:55])[H:56])([H:51])[H:52])[H:53])[H:57])[H:36].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:41])([N:9]([H:42])[H:43])[H:38])([H:48])[H:49])([H:44])[H:45])([H:39])[H:40])([H:35])[H:37],0
31,C1COCCN1,[N:13]1([H:34])[C:15]([H:49])([H:50])[C:18]([H:55])([H:56])[O:14][C:16]([H:51])([H:52])[C:17]1([H:53])[H:54].[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:40])([N:9]([H:41])[H:42])[H:37])([H:47])[H:48])([H:43])[H:44])([H:38])[H:39])[H:36])[N:11]([H:45])[H:46])[H:35]>>[N:1](=[C:2]([N:11]([H:45])[H:46])[N:13]1[C:15]([H:49])([H:50])[C:18]([H:55])([H:56])[O:14][C:16]([H:51])([H:52])[C:17]1([H:53])[H:54])[H:35].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:40])([N:9]([H:41])[H:42])[H:37])([H:47])[H:48])([H:43])[H:44])([H:38])[H:39])([H:34])[H:36],0
32,NCCC[C@@H](C(=O)OC)N,[N:13]([C:15]([C:14]([C:17]([C:20]([N:22]([H:66])[H:67])([H:61])[H:62])([H:59])[H:60])([H:56])[H:57])([C:16](=[O:18])[O:19][C:21]([H:63])([H:64])[H:65])[H:58])([H:40])[H:55].[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:46])([N:9]([H:47])[H:48])[H:43])([H:53])[H:54])([H:49])[H:50])([H:44])[H:45])[H:42])[N:11]([H:51])[H:52])[H:41]>>[N:1](=[C:2]([N:11]([H:51])[H:52])[N:13]([C:15]([C:14]([C:17]([C:20]([N:22]([H:66])[H:67])([H:61])[H:62])([H:59])[H:60])([H:56])[H:57])([C:16](=[O:18])[O:19][C:21]([H:63])([H:64])[H:65])[H:58])[H:55])[H:41].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:46])([N:9]([H:47])[H:48])[H:43])([H:53])[H:54])([H:49])[H:50])([H:44])[H:45])([H:40])[H:42],0
33,c1ccccc1C[C@@H](C(=O)O)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:51])([N:9]([H:52])[H:53])[H:48])([H:58])[H:59])([H:54])[H:55])([H:49])[H:50])[H:47])[N:11]([H:56])[H:57])[H:46].[c:13]1([C:23]([C:18]([C:15]([O:14][H:60])=[O:16])([N:21]([H:45])[H:65])[H:62])([H:67])[H:68])[c:17]([H:61])[c:19]([H:63])[c:20]([H:64])[c:22]([H:66])[c:24]1[H:69]>>[N:1](=[C:2]([N:11]([H:56])[H:57])[N:21]([C:18]([C:15]([O:14][H:60])=[O:16])([C:23]([c:13]1[c:17]([H:61])[c:19]([H:63])[c:20]([H:64])[c:22]([H:66])[c:24]1[H:69])([H:67])[H:68])[H:62])[H:65])[H:46].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:51])([N:9]([H:52])[H:53])[H:48])([H:58])[H:59])([H:54])[H:55])([H:49])[H:50])([H:45])[H:47],0
34,C1CCCCN1,[N:3]1([H:54])[C:15]([H:38])([H:40])[C:18]([H:35])([H:61])[C:14]([H:55])([H:56])[C:16]([H:57])([H:58])[C:17]1([H:59])[H:60].[N:1](=[C:2]([N:13]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:45])([N:9]([H:46])[H:47])[H:42])([H:52])[H:53])([H:48])[H:49])([H:43])[H:44])[H:23])[N:11]([H:50])[H:51])[H:41]>>[N:1](=[C:2]([N:3]1[C:15]([H:40])([H:38])[C:18]([H:35])([H:61])[C:14]([H:55])([H:56])[C:16]([H:57])([H:58])[C:17]1([H:59])[H:60])[N:11]([H:50])[H:51])[H:41].[O:6]=[C:5]([O:8][H:45])[C:4]([N:9]([H:46])[H:47])([C:12]([C:10]([C:7]([N:13]([H:23])[H:54])([H:43])[H:44])([H:48])[H:49])([H:52])[H:53])[H:42],0
35,C1(C(=O)O)CCCN1,[C:13]1([H:56])([H:57])[C:18]([H:60])([H:61])[C:20]([H:62])([H:63])[C:17]([C:15]([O:14][H:58])=[O:16])([H:59])[N:19]1[H:41].[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:47])([N:9]([H:48])[H:49])[H:44])([H:54])[H:55])([H:50])[H:51])([H:45])[H:46])[H:43])[N:11]([H:52])[H:53])[H:42]>>[N:1](=[C:2]([N:11]([H:52])[H:53])[N:19]1[C:13]([H:56])([H:57])[C:18]([H:60])([H:61])[C:20]([H:62])([H:63])[C:17]1([C:15]([O:14][H:58])=[O:16])[H:59])[H:42].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:47])([N:9]([H:48])[H:49])[H:44])([H:54])[H:55])([H:50])[H:51])([H:45])[H:46])([H:41])[H:43],0
36,C1(C(=O)OC)CCCN1,[N:13]1([H:37])[C:14]([C:15](=[O:16])[O:18][C:20]([H:57])([H:58])[H:59])([H:52])[C:17]([H:53])([H:54])[C:19]([H:55])([H:56])[C:21]1([H:60])[H:61].[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:43])([N:9]([H:44])[H:45])[H:40])([H:50])[H:51])([H:46])[H:47])([H:41])[H:42])[H:39])[N:11]([H:48])[H:49])[H:38]>>[N:1](=[C:2]([N:11]([H:48])[H:49])[N:13]1[C:14]([C:15](=[O:16])[O:18][C:20]([H:57])([H:58])[H:59])([H:52])[C:17]([H:53])([H:54])[C:19]([H:55])([H:56])[C:21]1([H:60])[H:61])[H:38].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:43])([N:9]([H:44])[H:45])[H:40])([H:50])[H:51])([H:46])[H:47])([H:41])[H:42])([H:37])[H:39],0
37,OC[C@@H](C(=O)O)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:42])([N:9]([H:43])[H:44])[H:39])([H:49])[H:50])([H:45])[H:46])([H:40])[H:41])[H:38])[N:11]([H:47])[H:48])[H:37].[O:13]([C:14](=[O:15])[C:16]([C:17]([O:18][H:55])([H:53])[H:54])([N:19]([H:36])[H:56])[H:52])[H:51]>>[N:1](=[C:2]([N:11]([H:47])[H:48])[N:19]([C:16]([C:14]([O:13][H:51])=[O:15])([C:17]([O:18][H:55])([H:53])[H:54])[H:52])[H:56])[H:37].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:42])([N:9]([H:43])[H:44])[H:39])([H:49])[H:50])([H:45])[H:46])([H:40])[H:41])([H:36])[H:38],0
38,C[C@@H](O)[C@@H](C(=O)O)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:41])([N:9]([H:42])[H:43])[H:38])([H:48])[H:49])([H:44])[H:45])([H:39])[H:40])[H:37])[N:11]([H:46])[H:47])[H:36].[O:13]([C:14](=[O:15])[C:17]([C:16]([O:18][H:53])([C:20]([H:55])([H:56])[H:57])[H:51])([N:19]([H:35])[H:54])[H:52])[H:50]>>[N:1](=[C:2]([N:11]([H:46])[H:47])[N:19]([C:17]([C:14]([O:13][H:50])=[O:15])([C:16]([O:18][H:53])([C:20]([H:55])([H:56])[H:57])[H:51])[H:52])[H:54])[H:36].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:41])([N:9]([H:42])[H:43])[H:38])([H:48])[H:49])([H:44])[H:45])([H:39])[H:40])([H:35])[H:37],0
39,C1=CC=C2C(=C1)C(=C[N]2)C[C@@H](C(=O)O)N,[N:16](=[C:17]([N:18]([C:22]([C:25]([C:27]([C:19]([C:20](=[O:21])[O:23][H:50])([N:24]([H:51])[H:52])[H:47])([H:57])[H:58])([H:53])[H:54])([H:48])[H:49])[H:46])[N:26]([H:55])[H:56])[H:45].[n:1]1([H:34])[c:5]([H:36])[c:12]([C:10]([C:6]([C:3]([O:2][H:35])=[O:4])([N:9]([H:33])[H:40])[H:37])([H:41])[H:42])[c:13]2[c:14]([H:44])[c:11]([H:43])[c:8]([H:39])[c:7]([H:38])[c:15]12>>[N:18]([C:22]([C:25]([C:27]([C:19]([C:20](=[O:21])[O:23][H:50])([N:24]([H:51])[H:52])[H:47])([H:57])[H:58])([H:53])[H:54])([H:48])[H:49])([H:33])[H:46].[n:1]1([H:34])[c:5]([H:36])[c:12]([C:10]([C:6]([C:3]([O:2][H:35])=[O:4])([N:9]([C:17](=[N:16][H:45])[N:26]([H:55])[H:56])[H:40])[H:37])([H:41])[H:42])[c:13]2[c:14]([H:44])[c:11]([H:43])[c:8]([H:39])[c:7]([H:38])[c:15]12,0
40,c1cc(O)ccc1C[C@@H](C(=O)O)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:52])([N:9]([H:53])[H:54])[H:49])([H:59])[H:60])([H:55])[H:56])([H:50])[H:51])[H:48])[N:11]([H:57])[H:58])[H:47].[c:13]1([H:61])[c:18]([H:64])[c:19]([O:20][H:65])[c:22]([H:67])[c:24]([H:70])[c:25]1[C:23]([C:17]([C:15]([O:14][H:62])=[O:16])([N:21]([H:46])[H:66])[H:63])([H:68])[H:69]>>[N:1](=[C:2]([N:11]([H:57])[H:58])[N:21]([C:17]([C:15]([O:14][H:62])=[O:16])([C:23]([c:25]1[c:13]([H:61])[c:18]([H:64])[c:19]([O:20][H:65])[c:22]([H:67])[c:24]1[H:70])([H:68])[H:69])[H:63])[H:66])[H:47].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:52])([N:9]([H:53])[H:54])[H:49])([H:59])[H:60])([H:55])[H:56])([H:50])[H:51])([H:46])[H:48],0
41,CC(C)[C@@H](C(=O)O)N,[N:1](=[C:2]([N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:41])([N:9]([H:42])[H:43])[H:38])([H:48])[H:49])([H:44])[H:45])([H:39])[H:40])[H:37])[N:11]([H:46])[H:47])[H:36].[O:13]([C:14](=[O:15])[C:17]([C:16]([C:18]([H:53])([H:54])[H:55])([C:20]([H:57])([H:58])[H:59])[H:51])([N:19]([H:35])[H:56])[H:52])[H:50]>>[N:1](=[C:2]([N:11]([H:46])[H:47])[N:19]([C:17]([C:14]([O:13][H:50])=[O:15])([C:16]([C:18]([H:53])([H:54])[H:55])([C:20]([H:57])([H:58])[H:59])[H:51])[H:52])[H:56])[H:36].[N:3]([C:7]([C:10]([C:12]([C:4]([C:5](=[O:6])[O:8][H:41])([N:9]([H:42])[H:43])[H:38])([H:48])[H:49])([H:44])[H:45])([H:39])[H:40])([H:35])[H:37],0
