,Substrate,AAM,E-1,E-2
42,C1=NC(=CC=C1C(C)=O)C(F)(F)F,[At:14][H:22].[H+:21].[c:1]1([H:23])[n:2][c:3]([C:5]([F:8])([F:9])[F:10])[c:4]([H:24])[c:6]([H:25])[c:7]1[C:11](=[O:12])[C:13]([H:26])([H:27])[H:28]>>[At+:14].[c:1]1([H:23])[n:2][c:3]([C:5]([F:8])([F:9])[F:10])[c:4]([H:24])[c:6]([H:25])[c:7]1[C:11]([O:12][H:21])([C:13]([H:26])([H:27])[H:28])[H:22],0,1
43,C1=NC(=CC=C1C(C)=O)Br,[At:11][H:19].[C:1](=[O:6])([C:8]([H:22])([H:23])[H:24])[c:10]1[c:2]([H:20])[n:3][c:4]([Br:5])[c:7]([H:21])[c:9]1[H:25].[H+:18]>>[At+:11].[C:1]([O:6][H:18])([C:8]([H:22])([H:23])[H:24])([c:10]1[c:2]([H:20])[n:3][c:4]([Br:5])[c:7]([H:21])[c:9]1[H:25])[H:19],0,1
44,C1=NC=NC=C1C(C)=O,[At:10][H:18].[H+:17].[c:1]1([H:19])[n:2][c:3]([H:20])[c:4]([C:5](=[O:7])[C:9]([H:22])([H:23])[H:24])[c:6]([H:21])[n:8]1>>[At+:10].[c:1]1([H:19])[n:2][c:3]([H:20])[c:4]([C:5]([O:7][H:17])([C:9]([H:22])([H:23])[H:24])[H:18])[c:6]([H:21])[n:8]1,0,0
45,C1=NC=CN=C1C(C)=O,[At:10][H:18].[C:1](=[O:4])([C:6]([H:21])([H:22])[H:23])[c:9]1[c:2]([H:19])[n:3][c:5]([H:20])[c:7]([H:24])[n:8]1.[H+:17]>>[At+:10].[C:1]([O:4][H:17])([C:6]([H:21])([H:22])[H:23])([c:9]1[c:2]([H:19])[n:3][c:5]([H:20])[c:7]([H:24])[n:8]1)[H:18],0,1
46,C1=CC=CC2=C1N=CC(=C2)C(C)=O,[At:14][H:25].[H+:24].[c:1]1([H:26])[n:2][c:3]2[c:4]([c:5]([H:27])[c:9]([H:29])[c:11]([H:30])[c:13]2[H:34])[c:6]([H:28])[c:7]1[C:8](=[O:10])[C:12]([H:31])([H:32])[H:33]>>[At+:14].[c:1]1([H:26])[n:2][c:3]2[c:4]([c:5]([H:27])[c:9]([H:29])[c:11]([H:30])[c:13]2[H:34])[c:6]([H:28])[c:7]1[C:8]([O:10][H:24])([C:12]([H:31])([H:32])[H:33])[H:25],0,1
47,C1=CC=CC2=C1C(=C[N]2)C(C)=O,[At:13][H:24].[H+:23].[n:1]1([H:25])[c:7]2[c:3]([c:2]([H:26])[c:12]([H:33])[c:10]([H:31])[c:8]2[H:27])[c:4]([C:5](=[O:6])[C:9]([H:28])([H:29])[H:30])[c:11]1[H:32]>>[At+:13].[n:1]1([H:25])[c:7]2[c:3]([c:2]([H:26])[c:12]([H:33])[c:10]([H:31])[c:8]2[H:27])[c:4]([C:5]([O:6][H:23])([C:9]([H:28])([H:29])[H:30])[H:24])[c:11]1[H:32],0,0
48,C1=C([N]N=C1)C(C)=O,[At:9][H:17].[C:1]([C:6]([c:5]1[n:4]([H:22])[n:3][c:2]([H:21])[c:7]1[H:23])=[O:8])([H:18])([H:19])[H:20].[H+:16]>>[At+:9].[C:1]([C:6]([c:5]1[n:4]([H:22])[n:3][c:2]([H:21])[c:7]1[H:23])([O:8][H:16])[H:17])([H:18])([H:19])[H:20],0,0
49,C1=C[N](C(=N1)C(C)=O)C,[At:10][H:20].[H+:19].[c:1]1([H:21])[n:2][c:3]([C:4](=[O:5])[C:8]([H:23])([H:24])[H:25])[n:6]([C:9]([H:26])([H:27])[H:28])[c:7]1[H:22]>>[At+:10].[c:1]1([H:21])[n:2][c:3]([C:4]([O:5][H:19])([C:8]([H:23])([H:24])[H:25])[H:20])[n:6]([C:9]([H:26])([H:27])[H:28])[c:7]1[H:22],0,0
50,C1=CC(=CC=C1C(C)=O)N[S](=O)(=O)C,[At:15][H:28].[H+:27].[c:1]1([H:29])[c:2]([H:30])[c:3]([C:4](=[O:5])[C:7]([H:32])([H:33])[H:34])[c:11]([H:35])[c:13]([H:39])[c:14]1[N:6]([S:8](=[O:9])(=[O:10])[C:12]([H:36])([H:37])[H:38])[H:31]>>[At+:15].[c:1]1([H:29])[c:2]([H:30])[c:3]([C:4]([O:5][H:27])([C:7]([H:32])([H:33])[H:34])[H:28])[c:11]([H:35])[c:13]([H:39])[c:14]1[N:6]([S:8](=[O:9])(=[O:10])[C:12]([H:36])([H:37])[H:38])[H:31],0,1
51,C1=C(C=CC=C1C(C)=O)C#N,[At:12][H:21].[H+:20].[c:1]1([C:6](=[O:8])[C:9]([H:24])([H:25])[H:26])[c:2]([H:22])[c:3]([C:4]#[N:5])[c:7]([H:23])[c:10]([H:27])[c:11]1[H:28]>>[At+:12].[c:1]1([C:6]([O:8][H:20])([C:9]([H:24])([H:25])[H:26])[H:21])[c:2]([H:22])[c:3]([C:4]#[N:5])[c:7]([H:23])[c:10]([H:27])[c:11]1[H:28],0,1
52,C1=CC(=CC=C1C(C)=O)I,[At:11][H:20].[H+:19].[O:1]=[C:10]([C:5]([H:22])([H:23])[H:24])[c:8]1[c:7]([H:26])[c:6]([H:25])[c:3]([I:4])[c:2]([H:21])[c:9]1[H:27]>>[At+:11].[O:1]([C:10]([C:5]([H:22])([H:23])[H:24])([c:8]1[c:7]([H:26])[c:6]([H:25])[c:3]([I:4])[c:2]([H:21])[c:9]1[H:27])[H:20])[H:19],0,1
53,C1=CC(=CC=C1C(C)=O)B2OC(C(O2)(C)C)(C)C,[At:19][H:40].[H+:39].[c:1]1([H:41])[c:2]([B:3]2[O:4][C:5]([C:8]([H:42])([H:43])[H:44])([C:17]([H:56])([H:57])[H:58])[C:6]([C:9]([H:45])([H:46])[H:47])([C:16]([H:53])([H:54])[H:55])[O:7]2)[c:10]([H:48])[c:11]([H:49])[c:12]([C:13](=[O:14])[C:15]([H:50])([H:51])[H:52])[c:18]1[H:59]>>[At+:19].[c:1]1([H:41])[c:2]([B:3]2[O:4][C:5]([C:8]([H:42])([H:43])[H:44])([C:17]([H:56])([H:57])[H:58])[C:6]([C:9]([H:45])([H:46])[H:47])([C:16]([H:53])([H:54])[H:55])[O:7]2)[c:10]([H:48])[c:11]([H:49])[c:12]([C:13]([O:14][H:39])([C:15]([H:50])([H:51])[H:52])[H:40])[c:18]1[H:59],1,0
54,C1=CC=C(C=C1C(C)=O)OC,[At:12][H:24].[H+:23].[c:1]1([H:25])[c:2]([O:3][C:6]([H:27])([H:28])[H:29])[c:10]([H:33])[c:11]([H:34])[c:4]([H:26])[c:5]1[C:7](=[O:8])[C:9]([H:30])([H:31])[H:32]>>[At+:12].[c:1]1([H:25])[c:2]([O:3][C:6]([H:27])([H:28])[H:29])[c:10]([H:33])[c:11]([H:34])[c:4]([H:26])[c:5]1[C:7]([O:8][H:23])([C:9]([H:30])([H:31])[H:32])[H:24],0,1
55,C1=CC(=CC=C1C(C)=O)OC,[At:12][H:24].[H+:23].[c:1]1([H:25])[c:2]([O:3][C:7]([H:26])([H:27])[H:28])[c:9]([H:32])[c:11]([H:34])[c:4]([C:5](=[O:6])[C:8]([H:29])([H:30])[H:31])[c:10]1[H:33]>>[At+:12].[c:1]1([H:25])[c:2]([O:3][C:7]([H:26])([H:27])[H:28])[c:9]([H:32])[c:11]([H:34])[c:4]([C:5]([O:6][H:23])([C:8]([H:29])([H:30])[H:31])[H:24])[c:10]1[H:33],0,1
56,C1=C(C(=CC=C1C(C)=O)OC)OC,[At:14][H:28].[H+:27].[c:1]1([H:29])[c:2]([O:3][C:6]([H:32])([H:33])[H:34])[c:10]([O:12][C:13]([H:38])([H:39])[H:40])[c:4]([H:30])[c:5]([H:31])[c:7]1[C:8](=[O:9])[C:11]([H:35])([H:36])[H:37]>>[At+:14].[c:1]1([H:29])[c:2]([O:3][C:6]([H:32])([H:33])[H:34])[c:10]([O:12][C:13]([H:38])([H:39])[H:40])[c:4]([H:30])[c:5]([H:31])[c:7]1[C:8]([O:9][H:27])([C:11]([H:35])([H:36])[H:37])[H:28],0,1
57,C1=C(C=C(C=C1C(C)=O)OC)OC,[At:14][H:28].[C:1]([C:12]([c:11]1[c:6]([H:36])[c:8]([O:9][C:10]([H:38])([H:39])[H:40])[c:2]([H:32])[c:3]([O:4][C:5]([H:33])([H:34])[H:35])[c:7]1[H:37])=[O:13])([H:29])([H:30])[H:31].[H+:27]>>[At+:14].[C:1]([C:12]([c:11]1[c:6]([H:36])[c:8]([O:9][C:10]([H:38])([H:39])[H:40])[c:2]([H:32])[c:3]([O:4][C:5]([H:33])([H:34])[H:35])[c:7]1[H:37])([O:13][H:27])[H:28])([H:29])([H:30])[H:31],0,1
58,C1=C(C(=C(C=C1C(C)=O)Cl)N)Cl,[At:13][H:22].[C:1]([C:10]([c:9]1[c:2]([H:26])[c:3]([Cl:4])[c:5]([N:11]([H:28])[H:29])[c:6]([Cl:7])[c:8]1[H:27])=[O:12])([H:23])([H:24])[H:25].[H+:21]>>[At+:13].[C:1]([C:10]([c:9]1[c:2]([H:26])[c:3]([Cl:4])[c:5]([N:11]([H:28])[H:29])[c:6]([Cl:7])[c:8]1[H:27])([O:12][H:21])[H:22])([H:23])([H:24])[H:25],0,0
59,C1=C(C(=CC=C1C(CBr)=O)O)CO,[At:14][H:24].[H+:25].[c:1]1([H:26])[c:6]([C:7](=[O:9])[C:10]([Br:13])([H:30])[H:31])[c:5]([H:28])[c:4]([C:11]([O:12][H:34])([H:32])[H:33])[c:3]([O:2][H:27])[c:8]1[H:29]>>[At+:14].[c:1]1([H:26])[c:6]([C:7]([O:9][H:25])([C:10]([Br:13])([H:30])[H:31])[H:24])[c:5]([H:28])[c:4]([C:11]([O:12][H:34])([H:32])[H:33])[c:3]([O:2][H:27])[c:8]1[H:29],0,0
60,C1=CC(=C(C=C1C(CBr)=O)[N+](=O)[O-])O,[At:15][H:22].[H+:23].[O:1]([c:2]1[c:3]([N+:8](=[O:11])[O-:12])[c:5]([H:26])[c:6]([C:7](=[O:9])[C:10]([Br:13])([H:27])[H:28])[c:14]([H:29])[c:4]1[H:25])[H:24]>>[At+:15].[O:1]([c:2]1[c:3]([N+:8](=[O:11])[O-:12])[c:5]([H:26])[c:6]([C:7]([O:9][H:23])([C:10]([Br:13])([H:27])[H:28])[H:22])[c:14]([H:29])[c:4]1[H:25])[H:24],0,0
61,C1=C(C(=C(C=C1C(CNC(C)(C)C)=O)Cl)N)Cl,[At:18][H:36].[C:1]([C:8]([H:38])([H:39])[H:40])([C:14]([H:44])([H:45])[H:46])([C:15]([H:47])([H:48])[H:49])[N:16]([C:13]([C:11]([c:10]1[c:2]([H:37])[c:3]([Cl:4])[c:5]([N:17]([H:51])[H:52])[c:6]([Cl:7])[c:9]1[H:41])=[O:12])([H:42])[H:43])[H:50].[H+:35]>>[At+:18].[C:1]([C:8]([H:38])([H:39])[H:40])([C:14]([H:44])([H:45])[H:46])([C:15]([H:47])([H:48])[H:49])[N:16]([C:13]([C:11]([c:10]1[c:2]([H:37])[c:3]([Cl:4])[c:5]([N:17]([H:51])[H:52])[c:6]([Cl:7])[c:9]1[H:41])([O:12][H:35])[H:36])([H:42])[H:43])[H:50],0,0
62,C1=C(C=CC(=C1)C[C@@H](C(=O)O)N)C(C)=O,[At:16][H:30].[H+:31].[c:1]1([H:32])[c:6]([C:7](=[O:8])[C:9]([H:35])([H:36])[H:37])[c:13]([H:42])[c:15]([H:44])[c:12]([C:11]([C:5]([C:3]([O:2][H:33])=[O:4])([N:10]([H:38])[H:39])[H:34])([H:40])[H:41])[c:14]1[H:43]>>[At+:16].[c:1]1([H:32])[c:6]([C:7]([O:8][H:31])([C:9]([H:35])([H:36])[H:37])[H:30])[c:13]([H:42])[c:15]([H:44])[c:12]([C:11]([C:5]([C:3]([O:2][H:33])=[O:4])([N:10]([H:38])[H:39])[H:34])([H:40])[H:41])[c:14]1[H:43],0,0
63,C1C(CCC1)C(C)=O,[At:9][H:23].[C:1]1([H:24])([H:25])[C:2]([C:3](=[O:4])[C:6]([H:29])([H:30])[H:31])([H:26])[C:8]([H:34])([H:35])[C:7]([H:32])([H:33])[C:5]1([H:27])[H:28].[H+:22]>>[At+:9].[C:1]1([H:24])([H:25])[C:2]([C:3]([O:4][H:22])([C:6]([H:29])([H:30])[H:31])[H:23])([H:26])[C:8]([H:34])([H:35])[C:7]([H:32])([H:33])[C:5]1([H:27])[H:28],1,1
64,C1CC1C(C)=O,[At:7][H:17].[C:1]1([C:2](=[O:3])[C:5]([H:21])([H:22])[H:23])([H:18])[C:4]([H:19])([H:20])[C:6]1([H:24])[H:25].[H+:16]>>[At+:7].[C:1]1([C:2]([O:3][H:16])([C:5]([H:21])([H:22])[H:23])[H:17])([H:18])[C:4]([H:19])([H:20])[C:6]1([H:24])[H:25],0,0
