,Substrate,AAM,E-1,E-2
12,C1=CC(=CC=C1C(C)=O)OCC,[At:13][H:27].[H+:26].[c:1]1([H:28])[c:2]([O:3][C:5]([C:10]([H:35])([H:36])[H:37])([H:30])[H:31])[c:12]([H:39])[c:4]([H:29])[c:6]([C:7](=[O:8])[C:9]([H:32])([H:33])[H:34])[c:11]1[H:38]>>[At+:13].[c:1]1([H:28])[c:2]([O:3][C:5]([C:10]([H:35])([H:36])[H:37])([H:30])[H:31])[c:12]([H:39])[c:4]([H:29])[c:6]([C:7]([O:8][H:26])([C:9]([H:32])([H:33])[H:34])[H:27])[c:11]1[H:38],0,1
13,C1=C2C(=CC=C1C(C)=O)OCO2,[At:13][H:22].[H+:23].[c:1]1([H:24])[c:2]2[c:10]([c:11]([H:18])[c:12]([H:30])[c:4]1[C:5](=[O:7])[C:9]([H:27])([H:28])[H:29])[O:8][C:6]([H:25])([H:26])[O:3]2>>[At+:13].[c:12]1([H:30])[c:11]([H:18])[c:10]2[c:2]([c:1]([H:24])[c:4]1[C:5]([O:7][H:23])([C:9]([H:27])([H:28])[H:29])[H:22])[O:3][C:6]([H:25])([H:26])[O:8]2,0,1
14,C1(=CC=C(C=C1C(C)=O)F)O,[At:12][H:20].[H+:21].[O:1]([c:2]1[c:3]([C:4](=[O:5])[C:9]([H:24])([H:25])[H:26])[c:11]([H:28])[c:6]([F:7])[c:8]([H:23])[c:10]1[H:27])[H:22]>>[At+:12].[O:1]([c:2]1[c:3]([C:4]([O:5][H:21])([C:9]([H:24])([H:25])[H:26])[H:20])[c:11]([H:28])[c:6]([F:7])[c:8]([H:23])[c:10]1[H:27])[H:22],0,0
15,C1=C(C(=CC=C1C(C)=O)Br)F,[At:12][H:20].[C:1](=[O:7])([C:9]([H:23])([H:24])[H:25])[c:11]1[c:2]([H:21])[c:3]([F:4])[c:5]([Br:6])[c:8]([H:22])[c:10]1[H:26].[H+:19]>>[At+:12].[C:1]([O:7][H:19])([C:9]([H:23])([H:24])[H:25])([c:11]1[c:2]([H:21])[c:3]([F:4])[c:5]([Br:6])[c:8]([H:22])[c:10]1[H:26])[H:20],1,1
16,C1(=CC(=CC=C1C(C)=O)Br)F,[At:12][H:20].[H+:19].[c:1]1([H:21])[c:5]([C:6](=[O:7])[C:9]([H:24])([H:25])[H:26])[c:3]([F:4])[c:2]([H:22])[c:10]([Br:11])[c:8]1[H:23]>>[At+:12].[c:1]1([H:21])[c:5]([C:6]([O:7][H:19])([C:9]([H:24])([H:25])[H:26])[H:20])[c:3]([F:4])[c:2]([H:22])[c:10]([Br:11])[c:8]1[H:23],0,1
17,C1=C(C=CC=C1C(CNC)=O)O,[At:13][H:25].[H+:26].[O:1]([c:2]1[c:4]([H:31])[c:5]([C:6](=[O:7])[C:8]([N:12]([C:3]([H:28])([H:29])[H:30])[H:37])([H:32])[H:33])[c:9]([H:34])[c:10]([H:35])[c:11]1[H:36])[H:27]>>[At+:13].[O:1]([c:2]1[c:4]([H:31])[c:5]([C:6]([O:7][H:26])([C:8]([N:12]([C:3]([H:28])([H:29])[H:30])[H:37])([H:32])[H:33])[H:25])[c:9]([H:34])[c:10]([H:35])[c:11]1[H:36])[H:27],0,0
18,C1=CC(=CC=C1C(=O)C)N,[At:11][H:22].[H+:21].[c:1]1([H:23])[c:2]([C:3](=[O:4])[C:7]([H:25])([H:26])[H:27])[c:10]([H:31])[c:5]([H:24])[c:6]([N:9]([H:29])[H:30])[c:8]1[H:28]>>[At+:11].[c:1]1([H:23])[c:2]([C:3]([O:4][H:21])([C:7]([H:25])([H:26])[H:27])[H:22])[c:10]([H:31])[c:5]([H:24])[c:6]([N:9]([H:29])[H:30])[c:8]1[H:28],0,0
19,C1=CC(=CC=C1C(=O)C)[N+](=O)[O-],[At:13][H:22].[H+:21].[c:1]1([H:23])[c:2]([C:3](=[O:4])[C:7]([H:25])([H:26])[H:27])[c:11]([H:28])[c:12]([H:29])[c:5]([N+:8](=[O:9])[O-:10])[c:6]1[H:24]>>[At+:13].[c:1]1([H:23])[c:2]([C:3]([O:4][H:21])([C:7]([H:25])([H:26])[H:27])[H:22])[c:11]([H:28])[c:12]([H:29])[c:5]([N+:8](=[O:9])[O-:10])[c:6]1[H:24],1,1
20,C1=C(C=C(C=C1C(=O)C)C(F)(F)F)C(F)(F)F,[At:18][H:26].[F:1][C:16]([F:6])([c:15]1[c:2]([H:27])[c:3]([C:4](=[O:5])[C:9]([H:28])([H:29])[H:30])[c:12]([H:31])[c:13]([C:7]([F:8])([F:10])[F:11])[c:14]1[H:32])[F:17].[H+:25]>>[At+:18].[F:1][C:16]([F:6])([c:15]1[c:2]([H:27])[c:3]([C:4]([O:5][H:25])([C:9]([H:28])([H:29])[H:30])[H:26])[c:12]([H:31])[c:13]([C:7]([F:8])([F:10])[F:11])[c:14]1[H:32])[F:17],0,0
21,C1=NC=CC=C1C(=O)C,[At:10][H:19].[H+:18].[c:1]1([C:4](=[O:6])[C:7]([H:22])([H:23])[H:24])[c:2]([H:20])[n:3][c:5]([H:21])[c:8]([H:25])[c:9]1[H:26]>>[At+:10].[c:1]1([C:4]([O:6][H:18])([C:7]([H:22])([H:23])[H:24])[H:19])[c:2]([H:20])[n:3][c:5]([H:21])[c:8]([H:25])[c:9]1[H:26],0,1
