,Substrate,AAM,E-1,E-2,E-3,E-4,E-5,E-6,E-7
14,COc1ccc(cc1)C#N,[O:11]([H:21])[H:31].[O:12]([H:22])[H:23].[O:1]([C:6]([H:25])([H:26])[H:27])[c:10]1[c:8]([H:29])[c:7]([H:28])[c:3]([C:4]#[N:5])[c:2]([H:24])[c:9]1[H:30]>>[N:5]([H:21])([H:22])[H:23].[O:1]([C:6]([H:25])([H:26])[H:27])[c:10]1[c:8]([H:29])[c:7]([H:28])[c:3]([C:4]([O:11][H:31])=[O:12])[c:2]([H:24])[c:9]1[H:30],0,0,0,1,0,1,0
15,Clc1ccc(cc1)C#N,[C:1](#[N:5])[c:9]1[c:7]([H:22])[c:2]([H:20])[c:3]([Cl:4])[c:6]([H:21])[c:8]1[H:23].[O:10]([H:17])[H:24].[O:11]([H:18])[H:19]>>[C:1]([c:9]1[c:7]([H:22])[c:2]([H:20])[c:3]([Cl:4])[c:6]([H:21])[c:8]1[H:23])([O:10][H:24])=[O:11].[N:5]([H:17])([H:18])[H:19],0,0,0,1,0,1,0
16,CN(C)c1ccc(cc1)C#N,[O:12]([H:25])[H:38].[O:13]([H:26])[H:27].[c:1]1([H:28])[c:2]([C:3]#[N:4])[c:6]([H:29])[c:8]([H:33])[c:9]([N:5]([C:7]([H:30])([H:31])[H:32])[C:10]([H:34])([H:35])[H:36])[c:11]1[H:37]>>[N:4]([H:25])([H:26])[H:27].[c:1]1([H:28])[c:2]([C:3]([O:12][H:38])=[O:13])[c:6]([H:29])[c:8]([H:33])[c:9]([N:5]([C:7]([H:30])([H:31])[H:32])[C:10]([H:34])([H:35])[H:36])[c:11]1[H:37],0,0,0,1,0,1,0
17,FC(F)(F)c1ccc(cc1)C#N,[C:1]([F:6])([F:8])([F:10])[c:11]1[c:9]([H:25])[c:7]([H:24])[c:3]([C:4]#[N:5])[c:2]([H:23])[c:12]1[H:26].[O:13]([H:20])[H:27].[O:14]([H:21])[H:22]>>[C:1]([F:6])([F:8])([F:10])[c:11]1[c:9]([H:25])[c:7]([H:24])[c:3]([C:4]([O:13][H:27])=[O:14])[c:2]([H:23])[c:12]1[H:26].[N:5]([H:20])([H:21])[H:22],0,0,0,0,0,1,0
18,Clc1cccc(Cl)c1C#N,[O:11]([H:17])[H:23].[O:12]([H:18])[H:19].[c:1]1([H:20])[c:2]([Cl:3])[c:4]([C:5]#[N:6])[c:7]([Cl:8])[c:10]([H:22])[c:9]1[H:21]>>[N:6]([H:17])([H:18])[H:19].[c:1]1([H:20])[c:2]([Cl:3])[c:4]([C:5]([O:11][H:23])=[O:12])[c:7]([Cl:8])[c:10]([H:22])[c:9]1[H:21],0,0,0,0,0,0,0
19,CC(C)c1cc(cc(C(C)C)c1N(C)C)C#N,[O:18]([H:43])[H:68].[O:19]([H:44])[H:45].[c:1]1([H:46])[c:2]([C:3]#[N:4])[c:5]([H:47])[c:6]([C:14]([C:15]([H:59])([H:60])[H:61])([C:16]([H:62])([H:63])[H:64])[H:58])[c:7]([N:9]([C:10]([H:48])([H:49])[H:50])[C:12]([H:52])([H:53])[H:54])[c:8]1[C:11]([C:13]([H:55])([H:56])[H:57])([C:17]([H:65])([H:66])[H:67])[H:51]>>[N:4]([H:43])([H:44])[H:45].[c:1]1([H:46])[c:2]([C:3]([O:18][H:68])=[O:19])[c:5]([H:47])[c:6]([C:14]([C:15]([H:59])([H:60])[H:61])([C:16]([H:62])([H:63])[H:64])[H:58])[c:7]([N:9]([C:10]([H:48])([H:49])[H:50])[C:12]([H:52])([H:53])[H:54])[c:8]1[C:11]([C:13]([H:55])([H:56])[H:57])([C:17]([H:65])([H:66])[H:67])[H:51],0,0,0,0,0,0,0
20,Nc1ccccc1C#N,[O:10]([H:19])[H:28].[O:11]([H:20])[H:21].[c:1]1([H:22])[c:2]([C:3]#[N:4])[c:5]([N:8]([H:25])[H:26])[c:7]([H:24])[c:9]([H:27])[c:6]1[H:23]>>[N:4]([H:19])([H:20])[H:21].[c:1]1([H:22])[c:2]([C:3]([O:10][H:28])=[O:11])[c:5]([N:8]([H:25])[H:26])[c:7]([H:24])[c:9]([H:27])[c:6]1[H:23],0,0,0,0,0,0,0
21,Nc1ccc(cc1)C#N,[O:10]([H:19])[H:28].[O:11]([H:20])[H:21].[c:1]1([N:9]([H:26])[H:27])[c:6]([H:23])[c:2]([H:22])[c:3]([C:4]#[N:5])[c:7]([H:24])[c:8]1[H:25]>>[N:5]([H:19])([H:20])[H:21].[c:1]1([N:9]([H:26])[H:27])[c:6]([H:23])[c:2]([H:22])[c:3]([C:4]([O:10][H:28])=[O:11])[c:7]([H:24])[c:8]1[H:25],0,0,0,0,0,0,0
22,N#Cc1ccccn1,[O:10]([H:17])[H:18].[O:9]([H:16])[H:23].[c:1]1([H:19])[c:7]([H:21])[c:4]([C:5]#[N:6])[n:3][c:2]([H:20])[c:8]1[H:22]>>[N:6]([H:16])([H:17])[H:18].[c:1]1([H:19])[c:7]([H:21])[c:4]([C:5]([O:9][H:23])=[O:10])[n:3][c:2]([H:20])[c:8]1[H:22],0,0,0,1,0,1,1
23,N#Cc1cccnc1,[O:10]([H:17])[H:18].[O:9]([H:16])[H:23].[c:1]1([H:19])[n:2][c:4]([H:20])[c:7]([H:21])[c:8]([H:22])[c:3]1[C:5]#[N:6]>>[N:6]([H:16])([H:17])[H:18].[c:1]1([H:19])[n:2][c:4]([H:20])[c:7]([H:21])[c:8]([H:22])[c:3]1[C:5]([O:9][H:23])=[O:10],0,0,0,1,0,0,1
